gloss,text
"X-I WILL GIVE BUT ONE EXAMPLE .
","i will give but one example .
"
"AS RESULT THIS , MORE PEOPLE DIE IN DESC-SINGLE COUNTRY THAN DESC-CURRENTLY DIE STARVATION WORLDWIDE .
","as a result of this , more people died in a single country than currently die of starvation worldwide .
"
"THAT COUNTRY BE UKRAINE .
","that country was ukraine .
"
"X-I WOULD ADVISE CAUTION ABOUT WHAT BE SAY IN THIS CHAMBER .
","i would advise caution about what is said in this chamber .
"
"IN YEAR 2000 , 198 MEMBER UNITE NATION ADOPT SPECIFIC MILLENNIUM DEVELOPMENT GOAL .
","in the year 2000 , 198 members of the united nations adopted specific millennium development goals .
"
"COMMISSIONER SPEAK TODAY ABOUT DESC-FIRST , MOST DESC-IMPORTANT GOAL .
","the commissioner spoke today about the first , most important goal .
"
"TODAY , X-WE MUST ANSWER QUESTION AS TO WHER THIS GOAL BE DESC-ATTAINABLE .
","today , we must answer the question as to whether this goal is attainable .
"
"AGRICULTURE BE GO TO BE DESC-VERY DESC-IMPORTANT IN NEXT DESC-FEW YEAR .
","agriculture is going to be very important in the next few years .
"
"DESC-SO DESC-HIGHLY DESC-POLITICAL MEETING IN DESC-ECONOMIC , DESC-SOCIAL AND DESC-FINANCIAL TERM BE REDUCE TO RUN MILL DESC-TECHNICAL MEETING .
","so a highly political meeting in economic , social and financial terms was reduced to a run of the mill technical meeting .
"
"X-IT BE LACK INVESTMENT IN AGRICULTURE THAT HAVE LEAD TO THIS PHENOMENON FOOD INSECURITY .
","it is the lack of investment in agriculture that has led to this phenomenon of food insecurity .
"
"COMMISSIONER , HOW DESC-MUCH PROGRESS HAVE BE MAKE IN IMPLEMENT G8 COMMITMENT MAKE IN JULY ?
","commissioner , how much progress has been made in implementing the g8 commitments made in july ?
"
"HAVE BE IN X-YOU POSITION , X-I KNOW DIFFICULTY INVOLVE IN GET DONOR ON BOARD .
","having been in your position , I know the difficulties involved in getting donors on board .
"
"DESC-HOWEVER , EUROPE X-POSS FUTURE BE DESC-INTIMATELY LINK TO FATE DEVELOP COUNTRY .
","however , europe's future is intimately linked to the fate of developing countries .
"
"X-I X-MYSELF CAN DESC-NOT SEE SOLUTION IN THIS KIND DESC-RAR DESC-SHORT SIGHT DESC-IDEOLOGICAL RANT .
","i myself cannot see the solution in this kind of rather short sighted ideological ranting .
"
"X-IT HAPPEN IN MADAGASCAR , FOR INSTANCE .
","it happens in madagascar , for instance .
"
"THIS SEEM TO BE DESC-TOO DESC-SENSITIVE FOR WORLD LEADER TO DISCUSS .
","this seems to be too sensitive for world leaders to discuss .
"
"WHY DO X-YOU DESC-NOT DO THAT ?
","why did you not do that ?
"
"DESC-N DESC-RE BE DESC-COMMON DESC-AGRICULTURAL POLICY EU .
","then there is the common agricultural policy of the eu .
"
"X-WE PRODUCE LOT FOOD .
","we produce a lot of food .
"
"THAT CAUSE FOOD SHORTAGE AND BRING NEED FOR FOOD IMPORT .
","that causes food shortages and brings a need for food imports .
"
"WHEN CAN X-WE SEE DESC-FREE AND DESC-FAIR EUROPEAN DESC-AGRICULTURAL POLICY ?
","when can we see a free and fair european agricultural policy ?
"
"X-WE ACCEPT THAT .
","we accept that .
"
"DESC-SO DESC-RE BE THREE POINT WHICH X-WE NEED TO UNDERSTAND .
","so there are three points which we need to understand .
"
"DESC-SECONDLY , FACE WITH VOLATILITY IN DESC-GLOBAL MARKET , X-WE NEED SAFETY NET FROM DESC-COMMON DESC-AGRICULTURAL POLICY .
","secondly , faced with volatility in global markets , we need a safety net from the common agricultural policy .
"
"AND , DESC-THIRDLY , FOOD SECURITY , AND ALL THAT X-IT IMPLY TO EUROPEAN UNION , INVOLVE COST .
","and , thirdly , food security , and all that it implies to the european union , involves cost .
"
"EXPERT ESTIMATE THAT X-IT WOULD COST USD 44 BILLION TO OVERCOME SCOURGE CHRONIC MALNUTRITION .
","experts estimate that it would cost usd 44 billion to overcome the scourge of chronic malnutrition .
"
"FARMER IN DESC-NORRN IRELAND WANT TO HELP TO MEET THAT NEED .
","farmers in northern ireland want to help to meet that need .
"
"CAP REFORM WILL DETERMINE FARMERSABILITY TO PRODUCE FOOD .
","cap reform will determine the farmersability to produce food .
"
"X-IT WILL DESC-ALSO INFLUENCE PRICE FOOD .
","it will also influence the price of food .
"
"X-MY AIM BE TO PROMOTE FOOD PRODUCTION WITHIN DESC-NORRN IRELAND AND FOOD SECURITY WITHIN EUROPE .
","my aim is to promote food production within northern ireland and food security within europe .
"
"THIS WILL DESC-ONLY BE ACHIEVE BY ALLOW FARMER TO FARM .
","this will only be achieved by allowing farmers to farm .
"
"X-I THINK X-WE SHOULD ALL BE DESC-VERY DESC-PLEASED WITH THAT .
","i think we should all be very pleased with that .
"
"REST X-WE WILL TALK ABOUT X-IT .
","the rest of us will talk about it .
"
"X-IT BE X-WE RESPONSIBILITY TO DEVELOP AND PUT IN PLACE POLICY TO ALLOW X-WE FARMER TO PRODUCE FOOD .
","it is our responsibility to develop and put in place the policies to allow our farmers to produce food .
"
"DESC-RECENT VOLATILITY HAVE HIT BOTH THOSE AND FARMING CAN DESC-NOT SURVIVE ON THAT .
","the recent volatility has hit both of those and farming cannot survive on that .
"
"X-WE HAVE DESC-MORAL RESPONSIBILITY AND X-WE BE PREPARE TO TAKE X-IT ON BOARD .
","we have a moral responsibility and we are prepared to take it on board .
"
"DESC-FIRST FOOD CRISIS AND DESC-N DESC-FINANCIAL CRISIS HAVE BE HINDER ACHIEVEMENT MILLENNIUM DEVELOPMENT GOAL .
","first the food crisis and then the financial crisis have been hindering achievement of the millennium development goals .
"
"X-WE BE DESC-NOT PROGRESS X-WE BE DESC-ACTUALLY MOVE DESC-BACKWARDS .
","we are not progressing we are actually moving backwards .
"
"CHALLENGE BE DESC-LONG TERM , BUT SOLUTION BE DESC-URGENT AND BE NEED DESC-NOW .
","the challenges are long term , but the solutions are urgent and are needed now .
"
"X-WE PROBLEM BE DESC-ALARMING , BUT NO DESC-LESS DESC-SO BE LACK CAPACITY FOR ACTION .
","our problems are alarming , but no less so is the lack of capacity for action .
"
"DESC-HUMAN BE HAVE PROGRESS BECAUSE X-WE HAVE IDENTIFY CHALLENGE , DETERMINE RESPONSE AND TAKE ACTION .
","human beings have progressed because we have identified challenges , determined the responses and taken action .
"
"X-I DESC-REFORE SUPPORT RESOLUTION , WHICH CALL ON PARLIAMENT TO TAKE ACTION AS MATTER URGENCY .
","i therefore support the resolution , which calls on parliament to take action as a matter of urgency .
"
"POVERTY BE DESC-ALSO DESC-MAIN REASON FOR HUNGER .
","poverty is also the main reason for hunger .
"
"DESC-ORWISE , X-WE WILL DESC-NOT MANAGE TO MEET MILLENNIUM DEVELOPMENT GOAL .
","otherwise , we will not manage to meet the millennium development goals .
"
"SPEAKER AGREE TO TAKE DESC-BLUE CARD QUESTION UNDER RULE 149 8
","the speaker agreed to take a blue card question under rule 149 8 
"
"MADAM PRESIDENT , X-I WOULD LIKE TO ASK DESC-PREVIOUS SPEAKER TO BE SPECIFIC ABOUT WHAT EXPORT REFUND .
","madam president , I would like to ask the previous speaker to be specific about what export refunds .
"
"CAN X-I PLEASE ASK FOR EXAMPLE WHERE THIS BE DESC-CURRENTLY PROBLEM .
","can I please ask for an example of where this is currently a problem .
"
"DESC-SO THAT BE DESC-STILL DESC-COMMON PHENOMENON AND X-I THINK X-WE HAVE TO WORK ON THAT .
","so that is still a common phenomenon and I think we have to work on that .
"
"NUMBER PEOPLE SUFFER FROM HUNGER BE GROW AT FASTER RATE THAN WORLD X-POSS POPULATION .
","the number of people suffering from hunger is growing at a faster rate than the world's population .
"
"TWO CHILD DIE HUNGER EVERY MINUTE .
","two children die of hunger every minute .
"
"SOLUTION TO THIS SITUATION BE DESC-OBVIOUSLY DESC-NOT FOR X-WE TO DISCONTINUE EUROPEAN UNION X-POSS DESC-COMMON DESC-AGRICULTURAL POLICY .
","the solution to this situation is obviously not for us to discontinue the european union's common agricultural policy .
"
"DESC-HOWEVER , HUNGER BE DESC-NOT DESC-UNIQUE TO AFRICA .
","however , hunger is not unique to africa .
"
"HUNGER BE DESC-PRESENT IN EUROPEAN UNION AS DESC-WELL .
","hunger is present in the european union as well .
"
"SE DESC-ALSO INCLUDE THOSE PEOPLE REPRESENT AVERAGE WHO SPEND DESC-MANY TIME MORE THAN THIS ON FOOD .
","these also include those people representing the average who spend many times more than this on food .
"
"X-WE HAVE REACH MOST DESC-SERIOUS LEVEL DESC-GLOBAL FAMINE SINCE 19A CHILD DIE HUNGER EVERY SIX SECONDS .
","we have reached the most serious level of global famine since 19a child dies of hunger every six seconds .
"
"X-I DESC-REFORE BELIEVE THAT X-WE MUST CHANGE COURSE CAP , BUT DESC-NOT ABOLISH X-IT .
","i therefore believe that we must change the course of the cap , but not abolish it .
"
"DESC-SUSTAINABLE AGRICULTURE MUST BE PRIORITY AREA .
","sustainable agriculture must be a priority area .
"
"IF X-WE DO DESC-NOT LOOK AFTER X-WE WATER , X-WE WILL DESC-NEVER SUCCEED IN COMBATE HUNGER .
","if we do not look after our water , we will never succeed in combating hunger .
"
"MADAM PRESIDENT , IN DESC-18TH CENTURY ENGLAND , THOMAS MALTHUS PREDICT THAT POPULATION INCREASE WOULD EXCEED FOOD SUPPLY .
","madam president , in 18th century england , thomas malthus predicted that population increase would exceed food supply .
"
"AND X-WE HAVE GET TO SAVE LIFE CHILD .
","and we have got to save the lives of children .
"
"DESC-HERE IN DESC-WESTERN WORLD , X-WE BE ADDICT TO EAT MEAT DESC-MASSIVE WASTE RESOURCE .
","here in the western world , we are addicted to eating meat a massive waste of resources .
"
"DE MADAM PRESIDENT , DESC-ADEQUATE FOOD BE DESC-HUMAN DESC-RIGHT AND HUNGER BE CRIME AGAINST HUMANITY .
","de madam president , adequate food is a human right and hunger is a crime against humanity .
"
"COURSE , MONEY BE DESC-ALSO NEED TO COMBAT WORLD HUNGER .
","of course , money is also needed to combat world hunger .
"
"DESC-HOWEVER , X-IT BE DESC-NOT DESC-JUST ABOUT MONEY .
","however , it is not just about money .
"
"X-WE DESC-ALSO NEED TO MEET FOLLOW REQUIREMENT DESC-BEFOREHAND .
","we also need to meet the following requirements beforehand .
"
"DESC-TOO DESC-LITTLE BE DESC-OFTEN SAY ABOUT DESC-FIRST THREE POINT .
","too little is often said about the first three points .
"
"MORE THAN 40 000 HECTARE HAVE DESC-ALREADY BE ACQUIRE IN THIS MANNER FROM ETHIOPIUM TO INDONESIUM .
","more than 40 000 hectares have already been acquired in this manner from ethiopia to indonesia .
"
"X-IT SEEM TO X-I THAT SUBSISTENCE AGRICULTURE BE DESC-UNDOUBTEDLY MOST DESC-OBVIOUS ANSWER .
","it seems to me that subsistence agriculture is undoubtedly the most obvious answer .
"
"THIS MEAN THAT DESC-ADEQUATE DESC-LONG TERM FUNDING FOR CAP BE REQUIRE .
","this means that adequate long term funding for the cap is required .
"
"DESC-FIRST , LINK BETWEEN HUNGER AND CLIMATE CHANGE .
","first , the link between hunger and climate change .
"
"DESC-SO ANY DESC-POSITIVE EFFORT X-WE MAKE ON CLIMATE CHANGE WILL IMPACT DESC-POSITIVELY ON FOOD PRODUCTION .
","so any positive efforts we make on climate change will impact positively on food production .
"
"CAP BE DESC-NOT DESC-PERFECT , BUT X-IT HAVE BE REFORM .
","the cap is not perfect , but it has been reformed .
"
"DESC-RE HAVE BE DESC-SIMILAR DISTORTION IN DESC-AGRICULTURAL POLICY .
","there have been similar distortions in agricultural policy .
"
"SE HAVE RESULT IN OVER PRODUCTION BE EXPORT TO DEVELOP COUNTRY , DESC-THUS HAMPER DEVELOPMENT AGRICULTURE DESC-RE .
","these have resulted in over production being exported to the developing countries , thus hampering the development of agriculture there .
"
"X-I THINK CRISIS SHOULD TEACH X-WE LESSON .
","i think the crisis should teach us a lesson .
"
"WHEN X-YOU LOOK AT DESC-FINAL DECLARATION THIS BE , X-I THINK , DESC-ALSO DESC-OBVIOUS .
","when you look at the final declaration this is , I think , also obvious .
"
"DESC-SO THAT IN X-ITSELF BE DESC-VERY DESC-POSITIVE ELEMENT .
","so that in itself is a very positive element .
"
"X-I THINK THIS DESC-REALLY BE INNOVATION .
","i think this really is an innovation .
"
"DESC-SO X-WE SHOULD DESC-NOT BLAME X-OURSELVES ALL TIME .
","so we should not blame ourselves all the time .
"
"BY WAY , THIS FACILITY BE INNOVATION BY X-MY PREDECESSOR .
","by the way , this facility was an innovation by my predecessor .
"
"X-WE BE DESC-ALSO GO TO COMMIT THIS SUM AND TO DISBURSE THIS AS DESC-SOON AS DESC-POSSIBLE .
","we are also going to commit this sum and to disburse this as soon as possible .
"
"COMMUNICATION WILL AIM DESC-FIRSTLY AT RENEW EU COMMITMENT TO ASSIST DEVELOP COUNTRY ADVANCE X-Y DESC-AGRICULTURAL PRODUCTION .
","the communication will aim firstly at renewing the eu commitment to assist developing countries advancing their agricultural production .
"
"PUBLIC CONSULTATION ON ISSUE PAPER BE LAUNCH ON 16 NOVEMBER AND WILL DESC-CLOSE IN DESC-EARLY JANUARY .
","a public consultation on an issues paper was launched on 16 november and will close in early january .
"
"DESC-THUS X-WE WILL CONSULT ALL STAKEHOLDER AND DESC-N COME DESC-FORWARD WITH DESC-FORMAL COMMUNICATION BY EUROPEAN COMMISSION .
","thus we will consult all the stakeholders and then come forward with a formal communication by the european commission .
"
"DEBATE BE DESC-CLOSE .
","the debate is closed .
"
"VOTE WILL TAKE PLACE ON THURSDAY , 26 NOVEMBER 200MEAT IMPORT FROM DESC-THIRD COUNTRY DEBATE
","the vote will take place on thursday , 26 november 200meat imports from third countries debate 
"
"NEXT ITEM BE COMMISSION STATEMENT ON MEAT IMPORT FROM DESC-THIRD COUNTRY .
","the next item is the commission statement on meat imports from third countries .
"
"X-WE CAN DESC-ONLY REQUIRE THAT X-Y MEASURE HAVE EQUIVALENT EFFECT TO X-OURS .
","we can only require that their measures have an equivalent effect to ours .
"
"LET X-I TAKE TRACEABILITY AS EXAMPLE .
","let me take traceability as an example .
"
"IN EU , X-WE HAVE DESC-VERY DESC-STRINGENT RULE ON INDIVIDUAL IDENTIFICATION AND TRACEABILITY CATTLE .
","in the eu , we have very stringent rules on the individual identification and traceability of cattle .
"
"DESC-THUS , SCOPE SE RULE BE DESC-MUCH MORE DESC-LIMITED THAN RULE IN FORCE IN EU .
","thus , the scope of these rules is much more limited than the rules in force in the eu .
"
"SE MEASURE CAN BE GROUP INTO FIVE DESC-MAIN LEVEL PROTECTION .
","these measures can be grouped into five main levels of protection .
"
"DESC-FIFTH , X-WE HAVE SPECIFIC CONDITION CONCERN MEAT PRODUCTION AND STORAGE .
","fifth , we have specific conditions concerning meat production and storage .
"
"ALL IMPORT MEAT MUST UNDERGO DESC-MANDATORY DESC-VETERINARY CHECK AT EU BORDER .
","all imported meat must undergo mandatory veterinary checks at eu borders .
"
"BORDER INSPECTION POST BE OBLIGE TO CARRY OUT DOCUMENTARY , IDENTITY AND DESC-PHYSICAL CHECK .
","the border inspection posts are obliged to carry out documentary , identity and physical checks .
"
"IMPORT MEAT BE SUBJECT TO 100 % DOCUMENTARY AND IDENTITY CHECK AT BORDER INSPECTION POST .
","imported meat is subject to 100 % documentary and identity checks at border inspection posts .
"
"ALL MEASURE X-I HAVE DESCRIBE BE DESC-FULLY HARMONISE .
","all the measures I have described are fully harmonised .
"
"THIS BRING X-I TO X-MY NEXT POINT .
","this brings me to my next point .
"
"X-I BE DESC-AWARE THAT SOME X-YOU HAVE DESC-EXPRESS CONCERN AS REGARD X-WE IMPORT BEEF FROM BRAZIL .
","i am aware that some of you have expressed concern as regards our imports of beef from brazil .
"
"AS CONSEQUENCE , BRAZILIAN AUTHORITY REASSESS HOLD WISH TO PRODUCE BEEF MEAT FOR EXPORT TO EU .
","as a consequence , the brazilian authorities reassessed holdings wishing to produce beef meat for export to the eu .
"
"AS CONSEQUENCE , EU IMPORT BRAZILIAN BEEF HAVE DROP DESC-DRAMATICALLY .
","as a consequence , eu imports of brazilian beef have dropped dramatically .
"
"IN ANY CASE , DESC-OVERALL FIND DO DESC-NOT JUSTIFY ANY DESC-FURR RESTRICTION ON IMPORT BEEF FROM BRAZIL .
","in any case , the overall findings did not justify any further restriction on imports of beef from brazil .
"
"X-WE SHOULD LEAD BY EXAMPLE DESC-REFORE , PLAY BY RULE GOVERN DESC-INTERNATIONAL TRADE .
","we should lead by example therefore , playing by the rules governing international trade .
"
"COMMISSION WILL DESC-ALSO MAINTAIN X-ITS DESC-CURRENT DESC-PROPORTIONAL APPROACH TOWARDS IMPORT BEEF FROM DESC-THIRD COUNTRY , INCLUDE BRAZIL .
","the commission will also maintain its current proportional approach towards imports of beef from third countries , including brazil .
"
"EUROPEAN STOCKBREEDER BE OBLIGE TO MEET SE STANDARD AS PREREQUISITE FOR RECEIVE EUROPEAN UNION SUPPORT .
","european stockbreeders are obliged to meet these standards as a prerequisite for receiving european union support .
"
"THIS PROCESS WILL CONTINUE UNLESS DESC-ADEQUATE MEASURE BE TAKE .
","this process will continue unless adequate measures are taken .
"
"LET X-WE , DESC-HOWEVER , EXAMINE ISSUE MORE DESC-CLOSELY .
","let us , however , examine the issue more closely .
"
"GROW DEFICIT IN EUROPEAN PRODUCTION BE DESC-NATURALLY BE COVER BY IMPORT FROM DESC-THIRD COUNTRY , DESC-MAINLY FROM BRAZIL .
","the growing deficit in european production is naturally being covered by imports from third countries , mainly from brazil .
"
"DESC-CURRENTLY , SYSTEM BE OPERATE IN WAY THAT BE DESC-BLATANTLY DESC-UNFAIR FOR BOTH FARMER AND CONSUMER .
","currently , the system is operating in a way that is blatantly unfair for both farmers and consumers .
"
"DESC-RE BE DESC-HUGE EVIDENCE FROM FVO IN RELATION TO THIS .
","there is huge evidence from the fvo in relation to this .
"
"THIS SITUATION BE DESC-SIMPLY DESC-UNSUSTAINABLE .
","this situation is simply unsustainable .
"
"HOW BE THAT DESC-FAIR TO CONSUMER IN EUROPE ?
","how is that fair to consumers in europe ?
"
"DESC-RE BE NO FAITH THAT DESC-NEW MEASURE IMPLEMENT DESC-RECENTLY BE DESC-ACTUALLY BE TAKE STOCK .
","there is no faith that the new measures implemented recently are actually being taken stock of .
"
"COMMISSIONER , X-I BE DESC-NOT ADVOCATE PROTECTIONISM IN ANY WAY , BUT X-IT BE TIME TO ACT .
","commissioner , I am not advocating protectionism in any way , but it is time to act .
"
"X-WE CAN DESC-NOT STAND DESC-IDLY BY AND LET THIS PRACTICE CONTINUE .
","we cannot stand idly by and let this practice continue .
"
"X-IT BE DESC-SIMPLY DESC-UNFAIR .
","it is simply unfair .
"
"X-I WANT TO LOOK IN DESC-PARTICULAR AT FVO REPORT FROM BRAZIL .
","i want to look in particular at the fvo report from brazil .
"
"X-Y BE DESC-FUNDAMENTAL IN GUARANTEE TO EU CONSUMER , FARMER AND TAXPAYER THAT DESC-RE BE NO RISK .
","they are fundamental in guaranteeing to eu consumers , farmers and taxpayers that there are no risks .
"
"LET X-WE DESC-NOT FORGET THAT FOOT AND MOUTH DISEASE BE DESC-STILL DESC-SERIOUS PROBLEM IN BRAZIL .
","let us not forget that foot and mouth disease is still a serious problem in brazil .
"
"X-I HOPE THAT INDICATE THAT X-WE BE DESC-INTERESTED AND DESC-SERIOUS REGARD THIS ISSUE .
","i hope that indicates that we are interested and serious regarding this issue .
"
"X-WE SUPPORT X-YOU IN WHAT X-YOU BE SAY ABOUT IMPORT CONTROL AND ABOUT FMD .
","we support you in what you are saying about the import controls and about fmd .
"
"X-IT BE DESC-NOT DESC-JUST ABOUT BRAZILIAN BEEF .
","it is not just about brazilian beef .
"
"X-WE CONSUMER EXPECT DESC-EXACTLY DESC-SAME STANDARD IN ALL THING COME INTO EUROPEAN UNION .
","our consumers expect exactly the same standards in all things coming into the european union .
"
"THAT BE WHAT X-IT BE ABOUT . EUROPE .
","this is about brazilian beef coming into europe . that is what it is about .
"
"X-I BE SADDEN THAT X-I STAND DESC-HERE DESC-TONIGHT AND X-WE DO DESC-NOT HAVE RESOLUTION .
","i am saddened that I stand here tonight and we do not have a resolution .
"
"X-I WANT TO MAKE X-IT DESC-VERY DESC-CLEAR .
","i want to make it very clear .
"
"BRAZILIAN AMBASSADOR DO DESC-NOT LOBBY X-I .
","the brazilian ambassador did not lobby me .
"
"DESC-MAYBE X-HE DO DESC-NOT THINK X-I BE WORTH COME TO SEE X-I DO DESC-NOT KNOW .
","maybe he did not think I was worth coming to see I do not know .
"
"X-I HAVE TO SAY TO X-YOU , COMMISSIONER , THAT X-WE BE DESC-HERE FOR NEXT FIVE YEAR .
","i have to say to you , commissioner , that we are here for the next five years .
"
"X-WE WILL DESC-NOT ACCEPT DESC-SECOND DESC-BEST ANY MORE .
","we will not accept second best any more .
"
"X-YOU BE DESC-NOT GO TO DESTROY X-WE ANY MORE .
","you are not going to destroy us any more .
"
"DESC-UNREGULATED MEAT BE IMPORT FROM THOUSAND MILE DESC-AWAY AT EXPENSE NATIVE FARMER .
","unregulated meat is imported from thousands of miles away at the expense of native farmers .
"
"MEAT BRING WITH X-IT RISK CONTAMINATION DESC-SUCH AS FOOT AND MOUTH DISEASE , AS X-WE HAVE HEAR DESC-TONIGHT .
","the meat brings with it the risk of contamination such as foot and mouth disease , as we have heard tonight .
"
"LACK DESC-STRICT REGULATION IN BRAZIL MEAN EXPORTER DESC-ALSO HAVE DESC-UNFAIR DESC-COMPETITIVE ADVANTAGE OVER EUROPEAN FARMER .
","the lack of strict regulation in brazil means exporters also have an unfair competitive advantage over european farmers .
"
"BEFORE BAN IN 2007 , 30 000 PREMISE IN BRAZIL EXPORT BEEF TO EU .
","before a ban in 2007 , 30 000 premises in brazil exported beef to the eu .
"
"AROUND 100 FARM PER MONTH BE GIVE THAT DESC-RIGHT .
","around 100 farms per month are given that right .
"
"DESC-RE BE GRAVE CONCERN ABOUT DESC-UNIDENTIFIED CATTLE IN SLAUGHTERHOUSE .
","there are grave concerns about unidentified cattle in slaughterhouses .
"
"EUROPEAN FARMER MUST ABIDE BY RULE PUT IN PLACE FOR SAFETY CONSUMER .
","european farmers must abide by rules put in place for the safety of the consumer .
"
"X-IT BE ESTIMATE THAT CATTLE REAR BE DESC-RESPONSIBLE FOR 80 % DESC-ILLEGAL DEFORESTATION .
","it is estimated that cattle rearing is responsible for 80 % of illegal deforestation .
"
"WHICH DESC-AGRICULTURAL INDUSTRY DO EU AND COMMISSION DESC-ACTUALLY SUPPORT ?
","which agricultural industry does the eu and the commission actually support ?
"
"SPEAKER AGREE TO TAKE DESC-BLUE CARD QUESTION UNDER RULE 149 8
","the speaker agreed to take a blue card question under rule 149 8 
"
"X-HE SAY THAT DESC-UNREGULATED MEAT BE IMPORT INTO EU .
","he said that unregulated meat was imported into the eu .
"
"X-YOU SAY THAT , MR BUFTON , DESC-QUITE DESC-EARLY IN X-YOU PRESENTATION .
","you said that , mr bufton , quite early in your presentation .
"
"MADAM PRESIDENT , X-I WILL ANSWER THAT .
","madam president , I will answer that .
"
"X-IT BE DESC-QUITE DESC-SIMPLE .
","it is quite simple .
"
"WHOLE ISSUE BE DESC-RE X-IT BE DESC-QUITE DESC-CLEAR .
","the whole issue is there it is quite clear .
"
"WHY ON EARTH HAVE X-WE GET THIS SITUATION DESC-NOW , WITHIN EUROPEAN UNION ?
","why on earth have we got this situation now , within the european union ?
"
"THAT BE DESC-CLEARLY CASE .
","that is clearly the case .
"
"X-WE BE ON DESC-SAME SIDE WITH THIS ONE .
","we are on the same side with this one .
"
"MADAM PRESIDENT , X-I THANK COMMISSIONER FOR X-SHE DESC-LENGTHY AND DESC-FULL STATEMENT .
","madam president , I thank the commissioner for her lengthy and full statement .
"
"DESC-SOMETIMES DESC-LATE AT NIGHT X-WE GET CROSS , BUT DESC-SOMETIMES X-IT BE DESC-JUSTIFIED .
","sometimes late at night we get cross , but sometimes it is justified .
"
"X-I WILL BE DESC-BLUNT .
","i will be blunt .
"
"DESC-POLITICAL PRESSURE BRING X-YOU TO X-YOU SEN .
","political pressure brought you to your senses .
"
"X-I LISTEN IN DETAIL TO X-YOU SPEECH , TAKE NOTE AND WILL READ X-IT DESC-AGAIN .
","i listened in detail to your speech , took notes and will read it again .
"
"DESC-HOWEVER , X-I DESC-REALLY WOULD LIKE X-YOU TO ACCEPT THAT X-YOU BE FORCE TO ACT .
","however , I really would like you to accept that you were forced to act .
"
"DO THAT TELL X-WE THAT DESC-OR SHOULD DESC-NOT HAVE BE EXPORT AT ALL ?
","does that tell us that the others should not have been exporting at all ?
"
"DESC-RE BE DESC-SERIOUS QUESTION WHICH X-WE RAISE AND DESC-RIGHTLY RAISE IN THIS HOUSE ABOUT THIS IMPORTATION .
","there are serious questions which we raise and rightly raise in this house about this importation .
"
"X-I HAVE DESC-LITTLE TIME LEAVE , DESC-SO LET X-I STRETCH THIS WITH TWO POINT .
","i have a little time left , so let me stretch this with two points .
"
"X-I DO DESC-NOT HAVE FAITH IN DESC-CURRENT COMMISSION TO DEAL DESC-ADEQUATELY AND DESC-RESPONSIBLY WITH THIS ISSUE .
","i do not have faith in the current commission to deal adequately and responsibly with this issue .
"
"X-Y WILL REVOLT IN TIME IF X-Y SEE THAT THOSE STANDARD BE DESC-DEBASED BY IMPORT FROM DESC-THIRD COUNTRY .
","they will revolt in time if they see that those standards are debased by imports from third countries .
"
"FR MADAM PRESIDENT , COMMISSIONER , WHAT MAKE EUROPEAN BEEF DESC-DIFFERENT FROM IMPORT BEEF ?
","fr madam president , commissioner , what makes european beef different from imported beef ?
"
"LET X-WE DESC-REFORE ACT DESC-ACCORDINGLY DESC-SO AS TO PROTECT X-WE PRODUCER , WHO BE GUARANTOR THIS QUALITY .
","let us therefore act accordingly so as to protect our producers , who are the guarantors of this quality .
"
"BUT X-MY ISSUE BE DESC-RECENT FVO REPORT ON BEEF IMPORT FROM BRAZIL .
","but my issue is the recent fvo report on beef imports from brazil .
"
"EU FARMER WANT DESC-FAIR TRADE AS DESC-WELL AS DESC-FREE TRADE , AND EU CONSUMER DESERVE CERTAINTY .
","eu farmers want fair trade as well as free trade , and eu consumers deserve certainty .
"
"EU COMMISSION AND FVO HAVE RESPONSIBILITY TO ENSURE BOTH .
","the eu commission and the fvo have a responsibility to ensure both .
"
"X-I DESC-CERTAINLY WOULD DESC-NOT GIVE X-Y ANAGRADE FOR X-Y WORK .
","i certainly would not give them anagrade for their work .
"
"DESC-FIRSTLY , COMMISSIONER , X-YOU TALK ABOUT POSTER IN AIRPORT .
","firstly , commissioner , you talked about posters in airports .
"
"X-I SUGGEST X-YOU REINVESTIGATE THAT , BECAUSE X-IT BE DESC-NOT HAPPEN TO EXTENT THAT X-YOU THINK X-IT BE .
","i suggest you reinvestigate that , because it is not happening to the extent that you think it is .
"
"DESC-SECONDLY , X-I BE DESC-NOT CONVINCE ABOUT X-YOU ARGUMENT REGARD BRAZILIAN BEEF .
","secondly , I am not convinced about your argument regarding brazilian beef .
"
"X-I GO DESC-RE X-MYSELF , SEE MATTER ON GROUND AND SUPPORT DESC-PREVIOUS SPEAKER IN THIS REGARD .
","i went there myself , saw matters on the ground and support previous speakers in this regard .
"
"FARMER IN EU CONFORM TO WORLD X-POSS DESC-HIGHEST STANDARD , AND DESC-RIGHTLY DESC-SO .
","farmers in the eu conform to the world's highest standards , and rightly so .
"
"DESC-HOWEVER , SE IMPLY LEVEL COST WHICH X-WE CAN DESC-NOT PASS ON TO X-WE CONSUMER .
","however , these imply a level of cost which we cannot pass on to our consumers .
"
"PAST EXPERIENCE HAVE SHOW X-WE THAT X-YOU CAN DESC-NOT LEAVE X-IT TO DESC-COMMERCIAL INTEREST TO RESOLVE THIS PROBLEM .
","past experience has shown us that you cannot leave it to commercial interests to resolve this problem .
"
