id,text,gloss
40235,"firstly , we want the new service to have a directorate for peacebuilding and crisis management .","DESC-FIRSTLY , X-WE WANT DESC-NEW SERVICE TO HAVE DIRECTORATE FOR PEACEBUILDING AND CRISIS MANAGEMENT ."
40236,"secondly , we want the staff to be given comprehensive education and training .","DESC-SECONDLY , X-WE WANT STAFF TO BE GIVE DESC-COMPREHENSIVE EDUCATION AND TRAINING ."
40237,simply having attended a diplomacy college is not enough .,DESC-SIMPLY HAVE ATTEND DIPLOMACY COLLEGE BE DESC-NOT DESC-ENOUGH .
40238,"thirdly , we do not want a dual structure for the council president within the council secretariat .","DESC-THIRDLY , X-WE DO DESC-NOT WANT DESC-DUAL STRUCTURE FOR COUNCIL PRESIDENT WITHIN COUNCIL SECRETARIAT ."
40239,"therefore , the external action service should also be supported by this organisation .","DESC-REFORE , DESC-EXTERNAL ACTION SERVICE SHOULD DESC-ALSO BE SUPPORT BY THIS ORGANIZATION ."
40240,but how will that role develop ?,BUT HOW WILL THAT ROLE DEVELOP ?
40241,where will its limits be ?,WHERE WILL X-ITS LIMIT BE ?
40242,parliament must exercise its rights to scrutinise the eeas and shape its budget .,PARLIAMENT MUST EXERCISE X-ITS RIGHTS TO SCRUTINISE EEA AND SHAPE X-ITS BUDGET .
40243,"it provides a model in crisis , a model which prevents public intervention in the economy .","X-IT PROVIDE MODEL IN CRISIS , MODEL WHICH PREVENT PUBLIC INTERVENTION IN ECONOMY ."
40244,"therefore , we do not share this philosophy .","DESC-REFORE , X-WE DO DESC-NOT SHARE THIS PHILOSOPHY ."
40245,we believe that there is a lack of control .,X-WE BELIEVE THAT DESC-RE BE LACK CONTROL .
40246,"that is why , ladies and gentlemen , we are going to vote against this report .","THAT BE WHY , LADY AND GENTLEMAN , X-WE BE GO TO VOTE AGAINST THIS REPORT ."
40247,"mr president , this brok report is positive proof of the emergence of a single european union superstate .","MR PRESIDENT , THIS BROK REPORT BE DESC-POSITIVE PROOF EMERGENCE DESC-SINGLE EUROPEAN UNION SUPERSTATE ."
40248,the wicked lisbon constitution already forces an unelected president and foreign minister on us all .,DESC-WICKED LISBON CONSTITUTION DESC-ALREADY FORCE DESC-UNELECTED PRESIDENT AND DESC-FOREIGN MINISTER ON X-WE ALL .
40249,so what national interests will these new eu diplomats and embassies represent ?,DESC-SO WHAT DESC-NATIONAL INTEREST WILL SE DESC-NEW EU DIPLOMAT AND EMBASSY REPRESENT ?
40250,"they will not be those of our nation states , our trade or our companies .","X-Y WILL DESC-NOT BE THOSE X-WE NATION STATE , X-WE TRADE OR X-WE COMPANY ."
40251,they will be those of the european commission .,X-Y WILL BE THOSE EUROPEAN COMMISSION .
40252,all other national embassies will become redundant .,ALL DESC-OR DESC-NATIONAL EMBASSY WILL BECOME DESC-REDUNDANT .
40253,"already , british embassies around the world are selling off properties .","DESC-ALREADY , BRITISH EMBASSY AROUND WORLD BE SELL OFF PROPERTY ."
40254,they are creating a new yugoslavia .,X-Y BE CREATE DESC-NEW YUGOSLAVIUM .
40255,i worked for the british government on the northern ireland peace process .,X-I WORK FOR BRITISH GOVERNMENT ON DESC-NORRN IRELAND PEACE PROCESS .
40256,i saw what happened when democracy fails .,X-I SEE WHAT HAPPEN WHEN DEMOCRACY FAIL .
40257,it is not pretty .,X-IT BE DESC-NOT DESC-PRETTY .
40258,now I see democracy failing here in europe .,DESC-NOW X-I SEE DEMOCRACY FAIL DESC-HERE IN EUROPE .
40259,"de mr president , the council's actions are not transparent .","DE MR PRESIDENT , COUNCIL X-POSS ACTION BE DESC-NOT DESC-TRANSPARENT ."
40260,"the decisions are made de facto in the numerous , largely non transparent working groups and in coreper .","DECISION BE MAKE DE DESC-FACTO IN DESC-NUMEROUS , DESC-LARGELY NON DESC-TRANSPARENT WORK GROUP AND IN COREPER ."
40261,"in 2008 , only 1 % of the agenda items in the council of foreign ministers were debated publicly .","IN 2008 , DESC-ONLY 1 % AGENDA ITEM IN COUNCIL DESC-FOREIGN MINISTER BE DEBATE DESC-PUBLICLY ."
40262,"against precisely this background , the european external action service will also be established .","AGAINST DESC-PRECISELY THIS BACKGROUND , EUROPEAN DESC-EXTERNAL ACTION SERVICE WILL DESC-ALSO BE ESTABLISH ."
40263,my response is a clearno.,X-MY RESPONSE BE CLEARNO .
40264,this must not happen !,THIS MUST DESC-NOT HAPPEN !
40265,we need genuine democratic parliamentary control and we also need genuine transparency .,X-WE NEED DESC-GENUINE DESC-DEMOCRATIC DESC-PARLIAMENTARY CONTROL AND X-WE DESC-ALSO NEED DESC-GENUINE TRANSPARENCY .
40266,"however , you are in favour of this treaty .","DESC-HOWEVER , X-YOU BE IN FAVOR THIS TREATY ."
40267,"thank you very much mr president , commissioner , minister , I have to start with the footnotes .","THANK X-YOU DESC-VERY DESC-MUCH MR PRESIDENT , COMMISSIONER , MINISTER , X-I HAVE TO START WITH FOOTNOTE ."
40268,really interesting .,DESC-REALLY DESC-INTERESTING .
40269,for the new service to be credible it has to be endowed with as much democratic legitimacy as possible .,FOR DESC-NEW SERVICE TO BE DESC-CREDIBLE X-IT HAVE TO BE ENDOW WITH AS DESC-MUCH DESC-DEMOCRATIC LEGITIMACY AS DESC-POSSIBLE .
40270,"therefore , all the efforts to take care of this house's powers of scrutiny have to be saluted .","DESC-REFORE , ALL EFFORT TO TAKE CARE THIS HOUSE X-POSS POWER SCRUTINY HAVE TO BE SALUTE ."
40271,that is why they have to enjoy the same status .,THAT BE WHY X-Y HAVE TO ENJOY DESC-SAME STATUS .
40272,work in the service should be treated as an integral part of their career at home .,WORK IN SERVICE SHOULD BE TREAT AS DESC-INTEGRAL PART X-Y CAREER AT HOME .
40273,the lisbon treaty is important and different from all the other treaties because so much depends on its implementation .,LISBON TREATY BE DESC-IMPORTANT AND DESC-DIFFERENT FROM ALL DESC-OR TREATY BECAUSE DESC-SO DESC-MUCH DEPEND ON X-ITS IMPLEMENTATION .
40274,we have failed so far to ensure that our policies are coherent .,X-WE HAVE FAIL DESC-SO DESC-FAR TO ENSURE THAT X-WE POLICY BE DESC-COHERENT .
40275,often our trade policies conflict directly with our development cooperation policy .,DESC-OFTEN X-WE TRADE POLICY CONFLICT DESC-DIRECTLY WITH X-WE DEVELOPMENT COOPERATION POLICY .
40276,i also want to warn against any thoughts about subsuming development policy as part of our foreign policy .,X-I DESC-ALSO WANT TO WARN AGAINST ANY THOUGHT ABOUT SUBSUME DEVELOPMENT POLICY AS PART X-WE DESC-FOREIGN POLICY .
40277,we need an autonomous development service answerable to an autonomous commissioner for development and humanitarian aid .,X-WE NEED DESC-AUTONOMOUS DEVELOPMENT SERVICE DESC-ANSWERABLE TO DESC-AUTONOMOUS COMMISSIONER FOR DEVELOPMENT AND DESC-HUMANITARIAN AID .
40278,the creation of this new external service is an opportunity that should not be missed .,CREATION THIS DESC-NEW DESC-EXTERNAL SERVICE BE OPPORTUNITY THAT SHOULD DESC-NOT BE MISS .
40279,"we cannot do without such operating rules , which are in accordance with the spirit of the treaty .","X-WE CAN DESC-NOT DO WITHOUT DESC-SUCH OPERATE RULE , WHICH BE IN ACCORDANCE WITH SPIRIT TREATY ."
40280,to act otherwise would be to arouse the distrust of certain member states .,TO ACT DESC-ORWISE WOULD BE TO AROUSE DISTRUST DESC-CERTAIN MEMBER STATE .
40281,i am thinking in particular of the smallest and newest member states .,X-I BE THINK IN DESC-PARTICULAR DESC-SMALLEST AND DESC-NEWEST MEMBER STATE .
40282,the external service must be wholly in step with the commission .,DESC-EXTERNAL SERVICE MUST BE DESC-WHOLLY IN STEP WITH COMMISSION .
40283,it must not drift off course to become or inspire intergovernmental action .,X-IT MUST DESC-NOT DRIFT OFF COURSE TO BECOME OR INSPIRE DESC-INTERGOVERNMENTAL ACTION .
40284,to deny that would be naive .,TO DENY THAT WOULD BE DESC-NAIVE .
40285,what is the reason for this position ?,WHAT BE REASON FOR THIS POSITION ?
40286,"these relations are often wide ranging , complex and have a significant impact on the world outside europe .","SE RELATION BE DESC-OFTEN DESC-WIDE RANGE , COMPLEX AND HAVE DESC-SIGNIFICANT IMPACT ON WORLD OUTSIDE EUROPE ."
40287,the question of coherence is central in this context .,QUESTION COHERENCE BE DESC-CENTRAL IN THIS CONTEXT .
40288,consistency is pivotal in this connection .,CONSISTENCY BE DESC-PIVOTAL IN THIS CONNECTION .
40289,it is a two way process .,X-IT BE TWO WAY PROCESS .
40290,"de mr president , ladies and gentlemen , one europe , one voice !","DE MR PRESIDENT , LADY AND GENTLEMAN , ONE EUROPE , ONE VOICE !"
40291,we have taken another important step towards a common foreign policy for the member states .,X-WE HAVE TAKE ANOR DESC-IMPORTANT STEP TOWARDS DESC-COMMON DESC-FOREIGN POLICY FOR MEMBER STATE .
40292,that is sui generis .,THAT BE SUUS GENERUS .
40293,"de mr president , what do we want to achieve with the european diplomatic service ?","DE MR PRESIDENT , WHAT DO X-WE WANT TO ACHIEVE WITH EUROPEAN DESC-DIPLOMATIC SERVICE ?"
40294,we want to set the political priorities of the european union for the 21st century .,X-WE WANT TO SET DESC-POLITICAL PRIORITY EUROPEAN UNION FOR DESC-21ST CENTURY .
40295,"for this reason , it makes sense to establish a peacebuilding department .","FOR THIS REASON , X-IT MAKE SENSE TO ESTABLISH PEACEBUILDING DEPARTMENT ."
40296,at best they have one foot on the accelerator and one on the brakes .,AT DESC-BEST X-Y HAVE ONE FOOT ON ACCELERATOR AND ONE ON BRAKE .
40297,"this generates a lot of heat , but not much movement .","THIS GENERATE LOT HEAT , BUT DESC-NOT DESC-MUCH MOVEMENT ."
40298,the citizens of europe want europe to speak with one voice .,CITIZEN EUROPE WANT EUROPE TO SPEAK WITH ONE VOICE .
40299,people outside europe expect this .,PEOPLE OUTSIDE EUROPE EXPECT THIS .
40300,the eeas will not be able to achieve this on its own .,EEAS WILL DESC-NOT BE DESC-ABLE TO ACHIEVE THIS ON X-ITS DESC-OWN .
40301,"however , it represents a step in the right direction .","DESC-HOWEVER , X-IT REPRESENT STEP IN DESC-RIGHT DIRECTION ."
40302,let us make sure that it works .,LET X-WE MAKE DESC-SURE THAT X-IT WORK .
40303,what will happen to these ministries ?,WHAT WILL HAPPEN TO SE MINISTRY ?
40304,will they dissolve ?,WILL X-Y DISSOLVE ?
40305,that seems unlikely .,THAT SEEM DESC-UNLIKELY .
40306,who will the so called ambassadors of the european union be appointed by ?,WHO WILL DESC-SO CALL AMBASSADOR EUROPEAN UNION BE APPOINT BY ?
40307,"by the commission , as seems likely , or will the member states be able to appoint their own ?","BY COMMISSION , AS SEEM DESC-LIKELY , OR WILL MEMBER STATE BE DESC-ABLE TO APPOINT X-Y DESC-OWN ?"
40308,we cannot pretend that the european constitution was not rejected by the french and the dutch .,X-WE CAN DESC-NOT PRETEND THAT EUROPEAN CONSTITUTION BE DESC-NOT REJECT BY DESC-FRENCH AND DUTCH .
40309,"the eu also needs a strong voice in matters which concern energy policy and solidarity , for example .","EU DESC-ALSO NEED DESC-STRONG VOICE IN MATTER WHICH CONCERN ENERGY POLICY AND SOLIDARITY , FOR EXAMPLE ."
40310,"regarding transparency , I expect a balance to be achieved when establishing the european external action service .","REGARD TRANSPARENCY , X-I EXPECT BALANCE TO BE ACHIEVE WHEN ESTABLISH EUROPEAN DESC-EXTERNAL ACTION SERVICE ."
40311,this is something of vital importance that I cannot emphasise enough .,THIS BE SOMETHING DESC-VITAL IMPORTANCE THAT X-I CAN DESC-NOT EMPHASISE DESC-ENOUGH .
40312,"as concerns training personnel , it is proposed to create a european diplomatic college .","AS CONCERN TRAIN PERSONNEL , X-IT BE PROPOSE TO CREATE EUROPEAN DESC-DIPLOMATIC COLLEGE ."
40313,we ought to draw on this experience .,X-WE OUGHT TO DRAW ON THIS EXPERIENCE .
40314,"i have in mind bruges , natolin , florence and maastricht .","X-I HAVE IN MIND BRUGE , NATOLIN , FLORENCE AND MAASTRICHT ."
40315,i would also like to emphasise the issue of recruitment .,X-I WOULD DESC-ALSO LIKE TO EMPHASISE ISSUE RECRUITMENT .
40316,"on this note , I would like to point out two things .","ON THIS NOTE , X-I WOULD LIKE TO POINT OUT TWO THING ."
40317,"mr preda , in your speech , you used the phrasea common european culture.","MR PREDA , IN X-YOU SPEECH , X-YOU USE PHRASEA DESC-COMMON EUROPEAN CULTURE ."
40318,thank you for your question .,THANK X-YOU FOR X-YOU QUESTION .
40319,this is what I should have addressed first .,THIS BE WHAT X-I SHOULD HAVE ADDRESS DESC-FIRST .
40320,this is outrageous !,THIS BE DESC-OUTRAGEOUS !
40321,"we will also see an opt out from the instruments which involve parliamentary rights , such as the budget regulation .","X-WE WILL DESC-ALSO SEE OPT OUT FROM INSTRUMENT WHICH INVOLVE DESC-PARLIAMENTARY RIGHTS , DESC-SUCH AS BUDGET REGULATION ."
40322,we in the european parliament must pay attention .,X-WE IN EUROPEAN PARLIAMENT MUST PAY ATTENTION .
40323,i believe that this is an open question .,X-I BELIEVE THAT THIS BE DESC-OPEN QUESTION .
40324,this major reform of the lisbon treaty has to be made to work and will do so .,THIS DESC-MAJOR REFORM LISBON TREATY HAVE TO BE MAKE TO WORK AND WILL DO DESC-SO .
40325,i should like to congratulate mr brok on a detailed and very substantive report .,X-I SHOULD LIKE TO CONGRATULATE MR BROK ON DESC-DETAILED AND DESC-VERY DESC-SUBSTANTIVE REPORT .
40326,it is also important that european union representations around the world are not duplicated or triplicated .,X-IT BE DESC-ALSO DESC-IMPORTANT THAT EUROPEAN UNION REPRESENTATION AROUND WORLD BE DESC-NOT DUPLICATE OR TRIPLICATE .
40327,it seems to me that there is a real risk of that happening .,X-IT SEEM TO X-I THAT DESC-RE BE DESC-REAL RISK THAT HAPPEN .
40328,"we , in slovenia , have had a good experience of working in collaboration with austrian diplomats .","X-WE , IN SLOVENIA , HAVE HAVE DESC-GOOD EXPERIENCE WORK IN COLLABORATION WITH AUSTRIAN DIPLOMAT ."
40329,"commissioner , we would like that cooperation to continue to act as a kind of template .","COMMISSIONER , X-WE WOULD LIKE THAT COOPERATION TO CONTINUE TO ACT AS KIND TEMPLATE ."
40330,mr brok's report also mentions training .,MR BROK X-POSS REPORT DESC-ALSO MENTION TRAINING .
40331,i would therefore be interested in hearing your views on these matters .,X-I WOULD DESC-REFORE BE DESC-INTERESTED IN HEAR X-YOU VIEW ON SE MATTER .
40332,constitutional courts are now debating this issue as well and want to make a decision .,DESC-CONSTITUTIONAL COURT BE DESC-NOW DEBATE THIS ISSUE AS DESC-WELL AND WANT TO MAKE DECISION .
40333,"a state has an anthem and a flag , cooperation does not .","STATE HAVE ANM AND FLAG , COOPERATION DO DESC-NOT ."
40334,we have heard here about us sending an ambassador to represent us around the world .,X-WE HAVE HEAR DESC-HERE ABOUT X-WE SEND AMBASSADOR TO REPRESENT X-WE AROUND WORLD .
40335,we also hear about europe speaking with one voice .,X-WE DESC-ALSO HEAR ABOUT EUROPE SPEAKING WITH ONE VOICE .
40336,we do not agree with this . we envisage a different path for europe's future .,X-WE ENVISAGE DESC-DIFFERENT PATH FOR EUROPE X-POSS FUTURE .
40337,"this does not make us paranoid , as those preaching tolerance are saying .","THIS DO DESC-NOT MAKE X-WE DESC-PARANOID , AS THOSE PREACH TOLERANCE BE SAY ."
40338,"we still want europe , it just happens to be a different europe to what most people want .","X-WE DESC-STILL WANT EUROPE , X-IT DESC-JUST HAPPEN TO BE DESC-DIFFERENT EUROPE TO WHAT MOST PEOPLE WANT ."
40339,"real madrid , which is a spanish football club , has got a flag and an anthem .","DESC-REAL MADRID , WHICH BE SPANISH FOOTBALL CLUB , HAVE GET FLAG AND ANM ."
40340,do you believe it is a state ?,DO X-YOU BELIEVE X-IT BE STATE ?
40341,our geopolitical strategic thinking in foreign policy cannot be limited to climate change and energy security .,X-WE GEOPOLITICAL DESC-STRATEGIC THINK IN DESC-FOREIGN POLICY CAN DESC-NOT BE LIMIT TO CLIMATE CHANGE AND ENERGY SECURITY .
40342,this would allow europe to truly speak with one voice .,THIS WOULD ALLOW EUROPE TO DESC-TRULY SPEAK WITH ONE VOICE .
40343,ro I would first of all like to congratulate elmar brok for drafting this report .,RO X-I WOULD DESC-FIRST ALL LIKE TO CONGRATULATE ELMAR BROK FOR DRAFT THIS REPORT .
40344,creating the post of high representative and an external service will allow the european union to answer this question .,CREATE POST DESC-HIGH REPRESENTATIVE AND DESC-EXTERNAL SERVICE WILL ALLOW EUROPEAN UNION TO ANSWER THIS QUESTION .
40345,are appropriate preparations being made in this regard ?,BE DESC-APPROPRIATE PREPARATION BE MAKE IN THIS REGARD ?
40346,it is important that the report also mentioned the importance of transparency and democracy .,X-IT BE DESC-IMPORTANT THAT REPORT DESC-ALSO MENTION IMPORTANCE TRANSPARENCY AND DEMOCRACY .
40347,that is a good thing .,THAT BE DESC-GOOD THING .
40348,it is sui generis so we have to find ways to develop it .,X-IT BE SUUS GENERUS DESC-SO X-WE HAVE TO FIND WAY TO DEVELOP X-IT .
40349,that will be done in close cooperation and in dialogue with the european parliament .,THAT WILL BE DO IN DESC-CLOSE COOPERATION AND IN DIALOGUE WITH EUROPEAN PARLIAMENT .
40350,i am quite convinced of that .,X-I BE DESC-QUITE DESC-CONVINCED THAT .
40351,"of course , there are still issues to be resolved .","COURSE , DESC-RE BE DESC-STILL ISSUE TO BE RESOLVE ."
40352,i hope it will get broad support in this parliament .,X-I HOPE X-IT WILL GET DESC-BROAD SUPPORT IN THIS PARLIAMENT .
40353,"first of all , we , as the commission , are committed to making the eeas a success .","DESC-FIRST ALL , X-WE , AS COMMISSION , BE COMMIT TO MAKE EEAS SUCCESS ."
40354,i can see the need for the high representative vice president to have a degree of managerial and budgetary autonomy .,X-I CAN SEE NEED FOR DESC-HIGH REPRESENTATIVE VICE PRESIDENT TO HAVE DEGREE DESC-MANAGERIAL AND DESC-BUDGETARY AUTONOMY .
40355,i support parliament's objectives of ensuring transparent and accountable budgetary arrangements for the eeas .,X-I SUPPORT PARLIAMENT X-POSS OBJECTIVE ENSURE DESC-TRANSPARENT AND DESC-ACCOUNTABLE DESC-BUDGETARY ARRANGEMENT FOR EEAS .
40356,we would have questions about the implications of singling out one group for ep hearings in this way .,X-WE WOULD HAVE QUESTION ABOUT IMPLICATION DESC-SINGLE OUT ONE GROUP FOR EP HEARING IN THIS WAY .
40357,i think this is certainly not in line with the practice in member states .,X-I THINK THIS BE DESC-CERTAINLY DESC-NOT IN LINE WITH PRACTICE IN MEMBER STATE .
40358,i can only tell you that all the eu institutions are committed to gender mainstreaming .,X-I CAN DESC-ONLY TELL X-YOU THAT ALL EU INSTITUTION BE COMMIT TO GENDER MAINSTREAMING .
40359,i wanted to quickly comment on the israeli government and my trip to the middle east .,X-I WANT TO DESC-QUICKLY COMMENT ON ISRAELI GOVERNMENT AND X-MY TRIP TO MIDDLE DESC-EAST .
40360,"after the gaza conflict , it was very important to obtain a ceasefire .","AFTER GAZA CONFLICT , X-IT BE DESC-VERY DESC-IMPORTANT TO OBTAIN CEASEFIRE ."
40361,"finally , on the matter of delegations , as I said before they are open already .","DESC-FINALLY , ON MATTER DELEGATION , AS X-I SAY BEFORE X-Y BE DESC-OPEN DESC-ALREADY ."
40362,the situation should be the same in the future .,SITUATION SHOULD BE DESC-SAME IN FUTURE .
40363,the statements that you have made belong to the past .,STATEMENT THAT X-YOU HAVE MAKE BELONG TO PAST .
40364,we would also like to state that we want this foreign policy to strengthen europe's ability to act .,X-WE WOULD DESC-ALSO LIKE TO STATE THAT X-WE WANT THIS DESC-FOREIGN POLICY TO STRENGN EUROPE X-POSS ABILITY TO ACT .
40365,i would also like to say explicitly that foreign policy is not the job of parliaments .,X-I WOULD DESC-ALSO LIKE TO SAY DESC-EXPLICITLY THAT DESC-FOREIGN POLICY BE DESC-NOT JOB PARLIAMENT .
40366,operational foreign policy must be the responsibility of the executive .,DESC-OPERATIONAL DESC-FOREIGN POLICY MUST BE RESPONSIBILITY EXECUTIVE .
40367,this is the case in all national states .,THIS BE CASE IN ALL DESC-NATIONAL STATE .
40368,i believe that some action must be taken here .,X-I BELIEVE THAT SOME ACTION MUST BE TAKE DESC-HERE .
40369,this must also be taken into account .,THIS MUST DESC-ALSO BE TAKE INTO ACCOUNT .
40370,"the vote will take place on thursday , 22 october 200written statements rule 149","VOTE WILL TAKE PLACE ON THURSDAY , 22 OCTOBER DESC-200WRITTEN STATEMENT RULE 149"
40371,"however , achieving these objectives depends on how we organise this service .","DESC-HOWEVER , ACHIEVE SE OBJECTIVE DEPEND ON HOW X-WE ORGANISE THIS SERVICE ."
40372,the report contains a number of particularly important proposals .,REPORT CONTAIN NUMBER DESC-PARTICULARLY DESC-IMPORTANT PROPOSAL .
40373,we need an organisation which is as streamlined as possible and avoids any duplication .,X-WE NEED ORGANIZATION WHICH BE AS DESC-STREAMLINED AS DESC-POSSIBLE AND AVOID ANY DUPLICATION .
40374,this report is symptomatic of the militaristic nature of the european union .,THIS REPORT BE DESC-SYMPTOMATIC DESC-MILITARISTIC NATURE EUROPEAN UNION .
40375,one example is the following statement in the report,ONE EXAMPLE BE FOLLOW STATEMENT IN REPORT
40376,parliament's position on equality is therefore clear .,PARLIAMENT X-POSS POSITION ON EQUALITY BE DESC-REFORE DESC-CLEAR .
40377,"vice president of the european commission , margot wallström , has been proactive in matters to do with equality .","M , HAVE BE DESC-PROACTIVE IN MATTER TO DO WITH EQUALITY ."
40378,"the member states , however , are in a crucial position here .","MEMBER STATE , DESC-HOWEVER , BE IN DESC-CRUCIAL POSITION DESC-HERE ."
40379,the treaty of lisbon promised to bring about all sorts of changes .,TREATY LISBON PROMISE TO BRING ABOUT ALL SORT CHANGE .
40380,"however , referendums seem only to be held in order to be ignored .","DESC-HOWEVER , REFERENDUM SEEM DESC-ONLY TO BE HOLD IN ORDER TO BE IGNORE ."
40381,recruitment of people to the service should be done taking special care to maintain principles of transparency and equality .,RECRUITMENT PEOPLE TO SERVICE SHOULD BE DO TAKE DESC-SPECIAL CARE TO MAINTAIN PRINCIPLE TRANSPARENCY AND EQUALITY .
40382,"in my opinion , the eeas should recruit candidates from all three sources .","IN X-MY OPINION , EEA SHOULD RECRUIT CANDIDATE FROM ALL THREE SOURCE ."
40383,"this will ensure its professionalism , effectiveness and unique character .","THIS WILL ENSURE X-ITS PROFESSIONALISM , EFFECTIVENESS AND DESC-UNIQUE CHARACTER ."
40384,the next item is the joint debate on the council and commission statements on,NEXT ITEM BE DESC-JOINT DEBATE ON COUNCIL AND COMMISSION STATEMENT ON
40385,preparation of the tec meeting and the εu / usa summit 2 and 3 november 2009 and,U USA SUMMIT 2 AND 3 NOVEMBER 2009 AND
40386,transatlantic judicial and police cooperation .,TRANSATLANTIC DESC-JUDICIAL AND POLICE COOPERATION .
40387,we will have the first transatlantic economic council with president obama's administration on 26 27 october .,X-WE WILL HAVE DESC-FIRST TRANSATLANTIC DESC-ECONOMIC COUNCIL WITH PRESIDENT OBAMA X-POSS ADMINISTRATION ON 26 27 OCTOBER .
40388,"shortly after that , on 3 november , there will be a summit between the eu and the us .","DESC-SHORTLY AFTER THAT , ON 3 NOVEMBER , DESC-RE WILL BE SUMMIT BETWEEN EU AND X-WE ."
40389,these are two important opportunities to strengthen our relations .,SE BE TWO DESC-IMPORTANT OPPORTUNITY TO STRENGN X-WE RELATION .
40390,today's debate is therefore very important .,TODAY X-POSS DEBATE BE DESC-REFORE DESC-VERY DESC-IMPORTANT .
40391,"on the issue of the climate , we welcome the higher ambitions on the us's part .","ON ISSUE CLIMATE , X-WE DESC-WELCOME DESC-HIGHER AMBITION ON X-WE X-POSS PART ."
40392,"we must work together with the american administration to achieve a comprehensive , globally binding agreement in copenhagen .","X-WE MUST WORK DESC-TOGER WITH AMERICAN ADMINISTRATION TO ACHIEVE DESC-COMPREHENSIVE , DESC-GLOBALLY DESC-BINDING AGREEMENT IN COPENHAGEN ."
40393,we call on the us to set targets that are comparable to those set by the eu .,X-WE CALL ON X-WE TO SET TARGET THAT BE DESC-COMPARABLE TO THOSE SET BY EU .
40394,"another important issue is , of course , the financial and economic crisis .","ANOR DESC-IMPORTANT ISSUE BE , COURSE , DESC-FINANCIAL AND DESC-ECONOMIC CRISIS ."
40395,there is interest on both sides in deepening cooperation on domestic and legal matters .,DESC-RE BE INTEREST ON BOTH SIDE IN DEEPEN COOPERATION ON DESC-DOMESTIC AND DESC-LEGAL MATTER .
40396,"i will come back to this in a moment , as I understand that the debates have been combined .","X-I WILL COME DESC-BACK TO THIS IN MOMENT , AS X-I UNDERSTAND THAT DEBATE HAVE BE COMBINE ."
40397,both sides of the atlantic are interested in strengthening our cooperation with regard to development .,BOTH SIDE ATLANTIC BE DESC-INTERESTED IN STRENGN X-WE COOPERATION WITH REGARD TO DEVELOPMENT .
40398,the swedish presidency is very pleased to have the opportunity to represent the eu .,SWEDISH PRESIDENCY BE DESC-VERY DESC-PLEASED TO HAVE OPPORTUNITY TO REPRESENT EU .
40399,we need to draw up a work programme for the tec that can be established next year .,X-WE NEED TO DRAW DESC-UP WORK PROGRAM FOR TEC THAT CAN BE ESTABLISH NEXT YEAR .
40400,the transatlantic economic council is even more important today in light of the financial crisis .,TRANSATLANTIC DESC-ECONOMIC COUNCIL BE DESC-EVEN MORE DESC-IMPORTANT TODAY IN LIGHT DESC-FINANCIAL CRISIS .
40401,allow me now to say a few words about legal and police cooperation .,ALLOW X-I DESC-NOW TO SAY DESC-FEW WORD ABOUT DESC-LEGAL AND POLICE COOPERATION .
40402,"in this regard , I only need remind you of the debate on passenger name records , for example .","IN THIS REGARD , X-I DESC-ONLY NEED REMIND X-YOU DEBATE ON PASSENGER NAME RECORD , FOR EXAMPLE ."
40403,this statement must be meaningful and it must be followed by concrete measures .,THIS STATEMENT MUST BE DESC-MEANINGFUL AND X-IT MUST BE FOLLOW BY CONCRETE MEASURE .
40404,"what we need is not more elegant words , but rather cooperation that is tangible and active .","WHAT X-WE NEED BE DESC-NOT MORE DESC-ELEGANT WORD , BUT DESC-RAR COOPERATION THAT BE DESC-TANGIBLE AND DESC-ACTIVE ."
40405,we are seeking early consultation between the two parties when political incidents occur that may affect the other party .,X-WE BE SEEK DESC-EARLY CONSULTATION BETWEEN TWO PARTY WHEN DESC-POLITICAL INCIDENT OCCUR THAT MAY AFFECT DESC-OR PARTY .
40406,we are emphasising our common ambitions to be active in international forums to achieve full implementation of multilateral obligations .,X-WE BE EMPHASISE X-WE DESC-COMMON AMBITION TO BE DESC-ACTIVE IN DESC-INTERNATIONAL FORUM TO ACHIEVE DESC-FULL IMPLEMENTATION DESC-MULTILATERAL OBLIGATION .
40407,an important example is the agreement on airline passenger data .,DESC-IMPORTANT EXAMPLE BE AGREEMENT ON AIRLINE PASSENGER DATUM .
40408,the list of areas of cooperation is a long one .,LIST AREA COOPERATION BE DESC-LONG ONE .
40409,"this all requires joint and , to a certain degree , coordinated efforts .","THIS ALL REQUIRE DESC-JOINT AND , TO DESC-CERTAIN DEGREE , COORDINATE EFFORT ."
40410,seminars are being planned to bring the players involved closer together and to help them monitor the implementation .,SEMINAR BE BE PLAN TO BRING PLAYER INVOLVE CLOSER DESC-TOGER AND TO HELP X-Y MONITOR IMPLEMENTATION .
40411,"finally , I would like to mention three more points .","DESC-FINALLY , X-I WOULD LIKE TO MENTION THREE MORE POINT ."
40412,the first concerns the protection of human rights and fundamental freedoms .,DESC-FIRST CONCERN PROTECTION DESC-HUMAN RIGHTS AND DESC-FUNDAMENTAL FREEDOM .
40413,this must be counterbalanced by the fundamental and rigorous protection of personal data .,THIS MUST BE COUNTERBALANCE BY DESC-FUNDAMENTAL AND DESC-RIGOROUS PROTECTION DESC-PERSONAL DATUM .
40414,the cooperation and dialogue in this area is continuing and should be stepped up .,COOPERATION AND DIALOGUE IN THIS AREA BE CONTINUE AND SHOULD BE STEP DESC-UP .
