id,text,gloss_input,gloss_output_1,gloss_output_2
70317,the agreement will ensure that eu citizens have access to non discriminatory administrative and judicial rights .,AGREEMENT WILL ENSURE THAT EU CITIZEN HAVE ACCESS TO NON DESC-DISCRIMINATORY DESC-ADMINISTRATIVE AND DESC-JUDICIAL RIGHTS .,AGREEMENT ENSURE EU CITIZEN HAVE ACCESS NON DISCRIMINATORY ADMINISTRATIVE JUDICIAL RIGHT,AGREEMENT WILL ENSURE THAT EU CITIZEN HAVE ACCESS NON DISCRIMINATORY ADMINISTRATIVE AND JUDICIAL RIGHT.
70414,we need disclosure regulations like the usa's privacy act .,X-WE NEED DISCLOSURE REGULATION LIKE USA X-POSS PRIVACY ACT .,NEED DISCLOSURE REGULATION LIKE USA PRIVACY ACT,WE NEED DISCLOSURE REGULATION LIKE USA PRIVACY ACT .
70677,"given the open market and the movement of services , nothing else would be reasonable .","GIVE DESC-OPEN MARKET AND MOVEMENT SERVICE , NOTHING DESC-ELSE WOULD BE DESC-REASONABLE .","GIVE OPEN MARKET AND MOVEMENT SERVICE , NOTHING ELSE WOULD REASONABLE.","GIVE OPEN MARKET AND MOVEMENT SERVICE , NOTHING ELSE WOULD REASONABLE ."
70719,that is why I voted for the report on the sesar joint undertaking .,THAT BE WHY X-I VOTE FOR REPORT ON SESAR DESC-JOINT UNDERTAKING .,THAT WHY REPORT SESAR JOINT UNDERTAKING VOTE,THAT WHY VOTE REPORT ON SESAR JOINT UNDERTAKING.
70730,the commission proposal does not address this issue .,COMMISSION PROPOSAL DO DESC-NOT ADDRESS THIS ISSUE .,COMMISSION PROPOSAL NOT ADDRESS ISSUE.,COMMISSION PROPOSAL NOT ADDRESS THIS ISSUE .
71460,we see the situation in the world .,X-WE SEE SITUATION IN WORLD .,SEE SITUATION WORLD.,WE SEE SITUATION WORLD.
71516,first of all choose democracy .,DESC-FIRST ALL CHOOSE DEMOCRACY .,FIRST CHOOSE DEMOCRACY.,FIRST ALL CHOOSE DEMOCRACY.
72097,"cancer is a horrific disease , a disease about which , at its worst , nothing can be done .","CANCER BE DESC-HORRIFIC DISEASE , DISEASE ABOUT WHICH , AT X-ITS DESC-WORST , NOTHING CAN BE DO .","CANCER HORRIFIC DISEASE , DISEASE WHICH , AT WORST , NOTHING CAN DONE .","CANCER HORRIFIC DISEASE , DISEASE WHICH , AT ITS WORST , NOTHING CAN ."
72391,the international community needs to be specifically involved once again .,DESC-INTERNATIONAL COMMUNITY NEED TO BE DESC-SPECIFICALLY INVOLVE DESC-ONCE DESC-AGAIN .,NEED INTERNATIONAL COMMUNITY SPECIFICALLY INVOLVE ONCE AGAIN,ONCE AGAIN INTERNATIONAL COMMUNITY NEED SPECIFICALLY INVOLVE.
72546,"mr president , first of all I would like to thank mr deutsch for his excellent report .","MR PRESIDENT , DESC-FIRST ALL X-I WOULD LIKE TO THANK MR DEUTSCH FOR X-HE DESC-EXCELLENT REPORT .","MR PRESIDENT , FIRST ALL WOULD LIKE THANK MR DEUTSCH EXCELLENT REPORT.","MR PRESIDENT , FIRST ALL THANK MR DEUTSCH HE EXCELLENT REPORT ."
72637,i strongly support the european parliament report on the commission communication on action against cancer european partnership .,X-I DESC-STRONGLY SUPPORT EUROPEAN PARLIAMENT REPORT ON COMMISSION COMMUNICATION ON ACTION AGAINST CANCER EUROPEAN PARTNERSHIP .,STRONGLY SUPPORT EUROPEAN PARLIAMENT REPORT COMMISSION COMMUNICATION ACTION AGAINST CANCER EUROPEAN PARTNERSHIP,STRONGLY SUPPORT EUROPEAN PARLIAMENT REPORT ON COMMISSION COMMUNICATION ON ACTION AGAINST CANCER EUROPEAN PARTNERSHIP .
73034,"with this package of legislative action , we are taking a quantum leap towards an environmentally friendly society .","WITH THIS PACKAGE DESC-LEGISLATIVE ACTION , X-WE BE TAKE QUANTUM LEAP TOWARDS DESC-ENVIRONMENTALLY DESC-FRIENDLY SOCIETY .","THIS PACKAGE LEGISLATIVE ACTION, TAKE QUANTUM LEAP TOWARDS ENVIRONMENTALLY FRIENDLY SOCIETY","THIS PACKAGE LEGISLATIVE ACTION , TAKE QUANTUM LEAP TOWARDS ENVIRONMENTALLY FRIENDLY SOCIETY ."
73597,we are reducing production in europe .,X-WE BE REDUCE PRODUCTION IN EUROPE .,REDUCE PRODUCTION EUROPE.,REDUCE PRODUCTION EUROPE.
73613,it is vital for us to harmonise both our asylum laws and practices .,X-IT BE DESC-VITAL FOR X-WE TO HARMONISE BOTH X-WE ASYLUM LAW AND PRACTICE .,VITAL HARMONISE ASYLUM LAW PRACTICE.,IT VITAL WE HARMONISE BOTH WE ASYLUM LAW AND PRACTICE .
74376,and do you know what will happen with those proposals ?,AND DO X-YOU KNOW WHAT WILL HAPPEN WITH THOSE PROPOSAL ?,AND KNOW WHAT HAPPEN THOSE PROPOSAL?,AND KNOW WHAT HAPPEN THOSE PROPOSAL ?
74399,i really hope that parliament will also take part in this debate .,X-I DESC-REALLY HOPE THAT PARLIAMENT WILL DESC-ALSO TAKE PART IN THIS DEBATE .,PARLIAMENT TAKE PART DEBATE REALLY HOPE,REALLY HOPE PARLIAMENT WILL ALSO TAKE PART THIS DEBATE .
75709,returning to my report it is an implementation report .,RETURN TO X-MY REPORT X-IT BE IMPLEMENTATION REPORT .,RETURN TO REPORT IMPLEMENTATION REPORT.,RETURN IMPLEMENTATION REPORT.
76519,i will do that .,X-I WILL DO THAT .,DO THAT,WILL THAT.
76657,i heard some criticism from some colleagues .,X-I HEAR SOME CRITICISM FROM SOME COLLEAGUE .,HEAR SOME CRITICISM SOME COLLEAGUE.,"SOME COLLEAGUE, CRITICISM HEAR SOME."
77145,"please , let us stop this waste of taxpayersmoney now .","PLEASE , LET X-WE STOP THIS WASTE TAXPAYERSMONEY DESC-NOW .",NOW PLEASE STOP THIS WASTE TAXPAYERS MONEY.,"NOW PLEASE , LET WE STOP THIS WASTE TAXPAYERSMONEY ."
77163,"she has established excellent cooperation both with the political groups and , in particular , with the sectoral committees .","X-SHE HAVE ESTABLISH DESC-EXCELLENT COOPERATION BOTH WITH DESC-POLITICAL GROUP AND , IN DESC-PARTICULAR , WITH SECTORAL COMMITTEE .",BOTH WITH POLITICAL GROUP AND IN PARTICULAR WITH SECTORAL COMMITTEE EXCELLENT COOPERATION ESTABLISH,"SHE ESTABLISH EXCELLENT COOPERATION BOTH POLITICAL GROUP AND , PARTICULAR , SECTORAL COMMITTEE ."
77271,i do not believe that the moratorium proposed by mr cashman is a wise move either .,X-I DO DESC-NOT BELIEVE THAT MORATORIUM PROPOSE BY MR CASHMAN BE DESC-WISE MOVE EIR .,NOT BELIEVE MORATORIUM PROPOSED MR CASHMAN WISE MOVE EITHER.,NOT BELIEVE THAT MORATORIUM PROPOSE BY MR CASHMAN WISE MOVE EIR.
77432,that is why this issue is so important .,THAT BE WHY THIS ISSUE BE DESC-SO DESC-IMPORTANT .,THAT WHY THIS ISSUE SO IMPORTANT.,THAT WHY THIS ISSUE SO IMPORTANT .
78139,the london bombings took place exactly five years ago .,LONDON BOMBING TAKE PLACE DESC-EXACTLY FIVE YEAR DESC-AGO .,FIVE YEAR AGO LONDON BOMBING TAKE PLACE,"FIVE YEAR AGO, LONDON BOMBING TAKE PLACE ."
78207,an increase in data protection is thus nowhere in sight in this agreement .,INCREASE IN DATUM PROTECTION BE DESC-THUS DESC-NOWHERE IN SIGHT IN THIS AGREEMENT .,NOWHERE INCREASE DATA PROTECTION SIGHT THIS AGREEMENT THUS.,"THIS AGREEMENT, INCREASE DATUM PROTECTION THUS NOWHERE SIGHT ."
78539,we support the resolution despite the risks posed by overly extremist stances already taken by parliament .,X-WE SUPPORT RESOLUTION DESPITE RISK POSE BY DESC-OVERLY EXTREMIST STANCE DESC-ALREADY TAKE BY PARLIAMENT .,SUPPORT RESOLUTION DESPITE RISK POSE OVERLY EXTREMIST STANCE ALREADY TAKE PARLIAMENT,WE SUPPORT RESOLUTION DESPITE RISK POSE BY OVERLY EXTREMIST STANCE ALREADY TAKE BY PARLIAMENT .
78942,what cannot happen is for the taxpayer to have to carry the can again .,WHAT CAN DESC-NOT HAPPEN BE FOR TAXPAYER TO HAVE TO CARRY CAN DESC-AGAIN .,WHAT CAN NOT HAPPEN FOR TAXPAYER HAVE TO CARRY CAN AGAIN,WHAT CAN NOT HAPPEN TAXPAYER HAVE CARRY CAN AGAIN .
79166,"we have gone through full time , we are now in extra time .","X-WE HAVE GO THROUGH DESC-FULL TIME , X-WE BE DESC-NOW IN DESC-EXTRA TIME .",NOW HAVE GONE THROUGH FULL TIME IN EXTRA TIME.,THIS_MORNING FALL
79542,"as the european parliament we should , during the forthcoming second reading , .","AS EUROPEAN PARLIAMENT X-WE SHOULD , DURING DESC-FORTHCOMING DESC-SECOND READING , .","DURING FORTHCOMING SECOND READING, AS EUROPEAN PARLIAMENT SHOULD.","AS EUROPEAN PARLIAMENT , WE SHOULD DURING FORTHCOMING SECOND READING ."
79853,pillar one payments must continue giving farmers a direct payment which gives them a minimum level of income security .,PILLAR ONE PAYMENT MUST CONTINUE GIVE FARMER DESC-DIRECT PAYMENT WHICH GIVE X-Y MINIMUM LEVEL INCOME SECURITY .,PILLAR ONE PAYMENT MUST CONTINUE GIVE FARMER DIRECT PAYMENT GIVE MINIMUM LEVEL INCOME SECURITY,PILLAR ONE PAYMENT MUST CONTINUE GIVE FARMER DIRECT PAYMENT WHICH GIVE Y MINIMUM LEVEL INCOME SECURITY .
79875,another key point is to maintain a cap budget at least at its current level .,ANOR KEY POINT BE TO MAINTAIN CAP BUDGET AT DESC-LEAST AT X-ITS DESC-CURRENT LEVEL .,ANOTHER KEY POINT MAINTAIN CAP BUDGET AT LEAST AT CURRENT LEVEL.,ANOR KEY POINT MAINTAIN CAP BUDGET AT LEAST AT ITS CURRENT LEVEL .
