id,text,health
42049,"as europe's population becomes older , the impact of alzheimer's will become deeper too .",YES
42050,the further role of the european parliament in the fight against alzheimer's disease should not be discounted .,YES
42051,parliament actually has a very significant role to play in how that research will be done .,NO
42052,i hope we can have an early agreement at second reading on this very important directive .,NO
42053,it was said then that the eu should take action in this matter .,NO
42054,it would be good if the next presidency took up this matter and treated it with equal importance .,NO
42055,what are you there for ?,NO
42056,what are you responsible for ?,NO
42057,what do you do ?,NO
42058,this is what our citizens need .,NO
42059,joint efforts to combat diseases of this kind must be a priority for the eu institutions .,YES
42060,"finally , it is up to us to control the budget for this issue .",NO
42061,"de madam president , I will be very brief .",NO
42062,the importance of this has already been stated by several speakers .,NO
42063,it is a disease that affects many people and that number is growing .,YES
42064,"as far as this goes , this is a right and sensible path to take .",NO
42065,"it is a shame that , when it comes to the procedures , we have difficulty getting parliament involved .",NO
42066,it is regrettable that this resolution had to be prepared at the last minute .,NO
42067,"however , if a good result is achieved in the end , then that is what is important .",NO
42068,"madam president , alzheimer's and other dementia related diseases are dreadful .",YES
42069,the population's mental health is a vital issue for ensuring a decent quality of life .,YES
42070,diseases of this type are affecting an ever increasing number of people in the eu .,YES
42071,this is why efforts are required to combat the factors responsible for triggering these diseases .,YES
42072,"however , in order to combat these factors , they need to be identified through research .",NO
42073,will optimising our use of these resources be enough to achieve the expected results ?,NO
42074,what coordination mechanisms is the commission proposing that could not have been implemented before the communication ?,NO
42075,what added value does it provide ?,NO
42076,will giving greater visibility to the issue and using existing instruments be enough to resolve it ?,NO
42077,the illness also involves the suffering of close relatives .,YES
42078,"it is sometimes called a family illness , with relatives often suffering from chronic stress .",YES
42079,the social impact is enormous and takes a heavy toll .,NO
42080,"medical science , however , still does not even fully understand the causes of the disease .",YES
42081,this is important if even better use is to be made of the limited resources for research .,NO
42082,the planned pilot project in this area is an ideal starting point for interlinking the current research efforts better .,NO
42083,"however , prevention is also important alongside providing the best possible care for those affected .",YES
42084,the member states need to step up their information campaigns regarding an active lifestyle .,YES
42085,"in october 2009 , the social democratic party quit the government .",NO
42086,the political instability in romania was mainly triggered by the political actions of the social democratic party .,NO
42087,the reasons behind this are not only electoral .,NO
42088,"pt last month , the regions of europe were in the spotlight .",NO
42089,global challenges and european responses represent a perfect opportunity for a new strategy for the outermost regions .,NO
42090,"there are reams of pages of rules , accompanied by an extensive inspection procedure .",NO
42091,part of the problem is that interpretation of the myriad rules can vary from one inspector to another .,NO
42092,the other part of the problem is that some of the rules are mindless in the first place .,NO
42093,"we are celebrating the 20th anniversary of the fall of the berlin wall , that wall of shame .",NO
42094,"following 9 november 1989 , we were told that humanity would finally be set free .",NO
42095,"however , for one fallen wall , how many others have been erected on our continent ?",NO
42096,"let us knock down the walls of fortress europe , let us build bridges , not walls .",NO
42097,today we are quite able to make a realistic assessment of events in russia .,NO
42098,they will lead to a more careful approach to the preparation of crisis scenarios .,NO
42099,the question is how much gas we actually need to store and how to finance it .,NO
42100,we must avoid being drawn into excessive bureaucratic interference .,NO
42101,"however , irish workers and community activists are fighting back .",NO
42102,this was the case until the eu got itself involved .,NO
42103,but it gets worse .,NO
42104,the geneva treaty should also be updated and improved .,NO
42105,the remaining cemeteries have been invaded by bulldozers with excavators digging up relics .,NO
42106,this is a great affront to god .,NO
42107,this planned investment infringes directive 2008 / 98 / ec .,NO
42108,"in order to achieve this , we need to increase plant cover .",NO
42109,"firstly , what is the relationship between the risks and benefits ?",NO
42110,i therefore think that more harmonisation may be required .,NO
42111,the cross is a symbol both of the christian religion and of the history and tradition of europe .,NO
42112,removal of the cross by administrators is the first step to the culturalharakiriof europe .,NO
42113,"unfortunately , pragmatism of this kind is turning into a consistent plan to combat european values .",NO
42114,large companies continue to announce that they are scaling back their activities and cutting jobs .,NO
42115,we cannot accept this situation .,NO
42116,"madam president , I was due to talk about the pressures unlimited eu migration is putting on the uk .",NO
42117,forgive me for raising a pressing matter recently brought to my attention .,NO
42118,this will have a huge impact on british agriculture and structural fund programmes in this current cycle .,NO
42119,11.8 % of funds earmarked for the uk under the cohesion policy go to the poorest regions in wales .,NO
42120,i will tell you .,NO
42121,"however , they have brought back the most hideous aspects , brutality and terror .",NO
42122,is it true that this proposition means a substantial reduction in regional funds ?,NO
42123,does the european commission realise that this will radically weaken eu regional and agricultural policy ?,NO
42124,it would affect the majority of the eu's 271 regions .,NO
42125,lt the european union has committed itself to establishing an effective mechanism to prevent child sex abuse .,NO
42126,eight months have passed since this particularly important topic was discussed in a plenary session of the european parliament .,NO
42127,"sadly , the consequences of these crimes are devastating and long lasting .",NO
42128,"unilateral statements and unilateral actions are never a good choice , nor do they send out the right message .",NO
42129,"in view of this , I would like to ask if such a request has been received .",NO
42130,does the european commission intend to make the european union pay this debt ?,NO
42131,it is our responsibility to raise awareness of this gross abuse of power and violation of our basic rights .,NO
42132,seventy five per cent of respondents claimed that the worsening of their health is attributable to the work they do .,YES
42133,"just this week , yet another serious work related accident killed five portuguese workers in andorra .",NO
42134,this situation requires a rapid response from the european union and the member states .,NO
42135,there was confusion there in assigning the microphone .,NO
42136,i should have given the floor to mr teixeira .,NO
42137,i probably pronounced your name wrongly and that caused the confusion .,NO
42138,a scientific and consistent proposal has been drafted for the region and has the backing of local operators .,NO
42139,"under this proposal there will be six miles of zoning along the entire coastline , including antifer .",NO
42140,i have three questions how much progress has the commission made in examining the zoning proposals ?,NO
42141,"pl madam president , I would like to draw attention to the health situation in ukraine .",YES
42142,what is this coordination like ?,NO
42143,what aid is being given ?,NO
42144,how is the monitoring system working ?,NO
42145,i think that public opinion would like to receive an answer to these questions .,NO
42146,pt the current economic crisis leads to job insecurity .,NO
42147,these accidents have happened in the workplace and especially in the civil construction sector .,NO
42148,we are still very far from having planned half of the available funds .,NO
42149,"all the countries are affected , some even more so than others .",NO
42150,the european union's regional policy is one of the most useful policies for our fellow citizens .,NO
42151,i therefore appeal to the national management authorities to get involved .,NO
42152,"on the other hand , many examples can be given of money spent unnecessarily .",NO
42153,it is time we spent money for europe more effectively .,NO
42154,"according to rule 150 , we can conduct this type of debate for no more than 30 minutes .",NO
42155,third country nationals subject to or exempt from a visa requirement when crossing external borders debate,NO
42156,that is also the core idea that has guided us throughout the preparation of the report .,NO
42157,the citizens of the western balkans have been isolated by the visa regime for far too long .,NO
42158,"naturally , I am talking about bosnia and herzegovina and albania .",NO
42159,"we , on the other hand , undertake to deal with this proposal under an expedited procedure .",NO
42160,"however , I will look into the matter .",NO
42161,"moreover , the commission welcomes the adoption of this legislative proposal by both the european parliament and the council .",NO
42162,i understand parliament's position .,NO
42163,we are going to follow the same method for albania and bosnia and herzegovina .,NO
42164,"there you have it , madam president .",NO
42165,it is to give visa free travel to all the people of the western balkans .,NO
42166,our insistence on an inclusive approach should include a fair result by the 15th anniversary of the dayton agreement .,NO
42167,"i would like to conclude by thanking mrs fajon , the rapporteur .",NO
42168,the responsibility for any delays rests with them .,NO
42169,we exhort them to meet the benchmarks as soon as possible .,NO
42170,we know that the commission is helping in that process .,NO
42171,is that so complicated ?,NO
42172,"finally , it too has understood that the european parliament is not above the law .",NO
42173,"with all respect to my distinguished colleagues , I have to denounce a non constructive attitude .",NO
42174,there are no short cuts . there is no abracadabra .,NO
42175,it definitely does not send any strong political message .,NO
42176,"to my friends there , I am saying that I am committed .",NO
42177,the task for our rapporteur was to make a breakthrough on visa liberalisation while taking the house with her .,NO
42178,she has done this in the form of the declaration that she negotiated with the council .,NO
42179,i would prefer it to be sooner .,NO
42180,i would like to make one thing clear .,NO
42181,i would like to know what you think about this .,NO
42182,it is important to implement everything .,NO
42183,i would like to thank everyone involved and I hope that all of the people .,NO
42184,"we know that the eu cannot achieve this alone , as the national governments need to agree to it .",NO
42185,we need to overcome the anxieties in our population .,YES
42186,criminals are everywhere they do not need a visa !,NO
42187,they cross borders without a visa .,NO
42188,that is therefore not something that we should be concerned about .,NO
42189,how wonderful !,NO
42190,i therefore believe that we need to ensure that this is possible by next summer .,NO
42191,i hope that mr barrot will help us in that .,NO
42192,"however , we must not forget kosovo .",NO
42193,it must not be the last remaining black mark .,NO
42194,we are obliged to help kosovo to meet the benchmarks .,NO
42195,it cannot do it alone .,NO
42196,visa free travel is a deeply humanitarian act .,NO
42197,i am pleased that we were all in a position to make this happen .,NO
42198,"thank you for this opportunity , mr barrot .",NO
42199,"therefore , we are aware of what a powerful instrument integration can be from this perspective .",NO
42200,now we have to use it to deal with the western balkans .,NO
42201,progress needs to be made with the process of european integration in order to overcome this event .,NO
42202,visa free travel is an important step in this .,NO
42203,it is not only about providing a message of trust and visa free travel .,NO
42204,this is an embarrassing distinction in view of the country's recent history .,NO
42205,it is up to the european parliament to send a signal to bosnia and herzegovina and albania tomorrow .,NO
42206,"criteria are criteria , and these requirements need to be met in order to qualify for the visa waiver .",NO
42207,what their free travel in the eu amounts to is a step towards fully fledged membership of the eu .,NO
42208,hu I would like to welcome this report and congratulate the rapporteurs and shadow rapporteurs .,NO
42209,this is why this proposal should be welcomed .,NO
42210,this is why it is important .,NO
42211,this responsibility also means action at the same time .,NO
42212,"in this regard , I would particularly like to thank mrs corazza bildt for the efforts she has made .",NO
42213,"we cannot , however , allow our eastern neighbours to be isolated .",NO
42214,we cannot deny them the opportunity which we are giving to other european countries .,NO
42215,i obviously welcome this openness .,NO
42216,"i believe that it needed to be associated with moldova , if only symbolically .",NO
42217,"we are talking about moldova , a country which has made considerable progress on the political front .",NO
42218,i believe we must deplore this fact .,NO
42219,you made it clear that freedom of movement was obviously very desirable .,NO
42220,"as mr moraes said , it is beneficial for both parties for europe and for the balkan states .",NO
42221,"i regret that the swedish minister was not here , because we had very good cooperation .",NO
42222,"but this is a political house , and we all do serious politics as best we can .",NO
42223,we are talking about the destiny of the young generation .,NO
42224,thank you very much for your cooperation .,NO
42225,the vote will take place tomorrow at 11.00 .,NO
42226,the issue of providing visa free travel is only partially a technical one .,NO
42227,it is also a very definite political matter .,NO
42228,visa free travel is based on mutual trust and commitments .,NO
42229,they must do their utmost so that these conditions are met as soon as possible .,NO
42230,"it also concerns bosnia and herzegovina , albania and kosovo .",NO
42231,medium term financial assistance for member statesbalances of payments and social conditionality debate,NO
42232,"author . mr president , I come from latvia , a country hit severely by the financial crisis .",NO
42233,latvia was at risk of going bankrupt without financial assistance from outside .,NO
42234,we received such assistance from the eu and the imf .,NO
42235,"however , as a precondition , the latvian government had to cut budgetary spending .",NO
42236,"the approach , as you see , was an egalitarian one .",NO
42237,"whether one's pension was eur 100 or eur 1 000 , 10 % was taken off .",NO
42238,it was clear from the very beginning that such unselective cuts would hit the most vulnerable in society .,NO
42239,is the commission not aware of the european year against poverty ?,NO
42240,the latvian situation is not unique in the union .,NO
42241,hungary and romania have also received community loans .,NO
42242,other countries may one day be forced to apply for such loans .,NO
42243,we must therefore avoid creating a precedent of accepting antisocial measures .,NO
42244,this means that everything the institutions do must be measured against social rights .,NO
42245,each country has its own immediate priorities for getting themselves out of their financial difficulties .,NO
42246,millions of people have lost their jobs .,NO
42247,that is why it is important that social safety nets in those member states are not ignored .,NO
42248,i would be pleased if you can inform us about whether that is the case .,NO
42249,why have these three countries had to ask for assistance ?,NO
42250,why have we had to lend them money ?,NO
42251,how are we helping them ?,NO
42252,the european union does not make funds available without conditions .,NO
42253,i do not believe that it is a case of accusing the commission of mismanaging latvian policy .,NO
42254,we have been asked to trust member states .,NO
42255,"it is this that has become ineffective today , and it needs to be recognised .",NO
42256,"all of this will only make the crisis , unemployment and poverty worse .",NO
42257,"stable , strong social support systems cannot be maintained if the member states do not have strong economies .",NO
42258,investment in the economy is necessary in order to guarantee a stable social support system in the long term .,NO
42259,only harmonised and effective action will produce results on an eu wide scale .,NO
42260,complex solutions must be found that will foster the economic development of all the european union member states .,NO
42261,people have the smallest reserves then in these countries .,NO
42262,it means that they are finding it difficult to repay home loans due to the high currency based debt ratio .,NO
42263,unemployment is rising due to economic problems developing unilaterally and social expenditure is also decreasing .,NO
42264,"we can see instability , particularly political instability developing as a result of social tensions .",NO
42265,"more countries are seeing a rise in support for extremist views , and populism is gaining ground .",NO
42266,that has been said a couple of times already .,NO
42267,"against this background , questions have repeatedly been put to the commission by the european parliament .",NO
42268,"on 24 april of this year , the european parliament repeated this request .",NO
42269,"as far as I know , there has , as yet , been no response to these requests .",NO
42270,"if so , then my second question is why have these requests not yet been answered ?",NO
42271,my third question is therefore when can we expect an answer to these requests ?,NO
42272,i fear that is not what is happening .,NO
42273,but that is not what we are getting .,NO
42274,they are setting out to destroy our education system .,NO
42275,surely the commission should be insisting that all member states should at least seek to do that .,NO
42276,do the governments of member states in any way take into account the social factor when requesting financial aid ?,NO
42277,pt application of the principle of economic and social cohesion becomes particularly important in crisis situations .,NO
42278,"we hope that after this debate , commissioner , there will be european commission initiatives with this objective .",NO
42279,we are fully in agreement with them .,NO
42280,that is not our responsibility our responsibility is to try to help solve a financial problem .,NO
42281,"what is our alternative , then , as representatives of european citizens ?",NO
42282,to leave the country to collapse into insolvency ?,NO
42283,"to default on its external commitments , whether these are public or private debts ?",NO
42284,"the global financial crisis has had a deep , global effect on the movement of people across the world .",NO
42285,"against this backdrop , greater political and social integration is required , with a stronger and more unified europe .",NO
42286,"this does not mean , however , that better political and social coordination is not required .",NO
42287,"on the contrary , this integration is vital .",NO
42288,job losses are the main concern of european citizens .,NO
42289,the european union and its member states must be able to retain existing jobs and create other new jobs .,NO
42290,every job created means a family with a decent living and good quality education for the younger generation .,NO
42291,the success of the european model is measured by the quality of life of europe's 500 million citizens .,NO
42292,political situation in honduras with a view to the elections on 29 november 2009 debate,NO
42293,"in addition , the foreseen electoral observation mission for the general elections on 29 november was cancelled .",NO
42294,both parties welcomed our mission and expressed their readiness to engage in mutual dialogue .,NO
42295,"internal dialogue did take place later on , but has , regrettably , not yet produced a final outcome .",NO
42296,"i still , however , believe that we should continue to push for a political agreement in this country .",NO
42297,"after the events in june , no new candidates have expressed a desire to stand for president .",NO
42298,honduras is one of the central american countries with which the european union wishes to conclude an association agreement .,NO
42299,"however , the political crisis has disrupted the negotiation process .",NO
42300,"as václav havel said this morning , we cannot have double standards .",NO
42301,"here , we are all democrats and , therefore , fighters for freedom .",NO
42302,let us not allow ourselves to be blinded by our ideological preferences .,NO
42303,"there are no right wing or left wing coup leaders or dictators , merely repressive and freedom destroying ones .",NO
42304,"what has happened , though ?",NO
42305,"mr micheletti has not complied with the agreement , and the situation is getting worse .",NO
42306,that hope is now dead .,NO
42307,the european union must strongly condemn this attitude and call for president zelaya's immediate reinstatement .,NO
42308,"in the current situation , one cannot have elections organised by an illegal dictatorship .",NO
42309,the elections of 29 november cannot be recognised .,NO
42310,"even though the organization of american states has already done so , we must refuse to send observers .",NO
42311,we are concerned about the numerous human rights violations being reported to us .,NO
42312,now more than ever europe must take a firm stance on democracy .,NO
42313,we reject any agreement with an illegal government .,NO
42314,the gsp + agreements must be suspended .,NO
42315,"if the conflict continues , the time will have to come for sanctions .",NO
42316,we talk about elections because elections are democracy .,NO
42317,the european union must demand the unconditional and immediate reinstatement of president zelaya .,NO
42318,we have had examples of this in europe in the past .,NO
42319,the elections in poland in 1989 are an example .,NO
42320,they were not democratic elections .,NO
42321,"they were elections which represented a political compromise , but they were not democratic elections .",NO
42322,"they were decisive , specific and very important .",NO
42323,"for elections to fulfil such a specific , positive role , certain conditions must be met .",NO
42324,the most common obstacle to abiding by understandings are questions of interpretation of the things which have been agreed .,NO
42325,the elections provide opportunity and hope for the amendment of these errors .,NO
42326,i am sure that we want this to happen .,NO
42327,the elections can be decisive and positive for a democratic honduras .,NO
42328,the european union supports this process and is pleased with it .,NO
42329,"the current situation in honduras is temporary , and cannot last long .",NO
42330,the elections are an opportunity for change .,NO
42331,i condemn this military coup in the strongest terms .,NO
42332,"this is their duty to the honduran people , who are the ones most affected by this political crisis .",NO
42333,"at this time , those involved need to be directing all their energy towards restoring democracy .",NO
42334,i deeply regret the fact that this parliament has not yet condemned the military coup .,NO
42335,it is unacceptable that this parliament has not yet condemned the coup d état .,NO
42336,"mr president , presidential elections in honduras were called 16 months ago .",NO
42337,the agreement contained a set of key points supported by both sides .,NO
42338,no elections have been held there for 50 years .,NO
42339,cuba is ruled by a communist tyrant who puts all his opponents in prison .,NO
42340,we must make fresh urgent calls for peace and dialogue .,NO
42341,"the situation in honduras is critical , not only politically , but also in social and economic terms .",NO
42342,you would all have said that it is unlawful for the european union to send election observers there .,NO
42343,"in other words , do not send election observers there for an illegitimate election .",NO
42344,i am grateful to the commission for taking precisely this position .,NO
42345,that I will take back and will deliberate on with colleagues .,NO
42346,"as I said , this is a poor country .",NO
42347,"instead , they face a curfew , detention without charge , and other violations of individual freedoms .",NO
42348,this crisis extends far beyond the political deadlock and the battles between key political figures .,NO
42349,it is about ordinary people whose day to day struggle has been made even harder during the last four months .,NO
42350,made in origin marking debate,NO
42351,the next item is the commission statement onmade in origin marking .,NO
42352,i particularly recall your resolution of july 2006 and the written declaration of september 200origin marking should therefore be considered in that spirit .,NO
42353,that is precisely what this regulation is about .,NO
42354,"imports into the united states , into canada , china and japan are subject to country of origin marking .",NO
42355,"since 2006 , discussions have been held in council in order to reach an agreement on the commission proposal .",NO
42356,a number of member states remain to be convinced .,NO
42357,they are worried that the administrative burden and the costs of an origin marking scheme may outweigh the benefits .,NO
42358,a commission options paper was discussed with the member states in the article 133 committee on 23 october 200the commission suggests now to include only those goods that consumers can find in retail stores .,NO
42359,"secondly , the commission suggested that the scheme be launched on a pilot project basis .",NO
42360,any continuation would be subject to an evaluation of the impact the proposed scheme had .,NO
42361,i am pleased to say that the member states have received our options paper with interest .,NO
42362,i sincerely hope this will clear the way for a compromise solution .,NO
42363,we ask the commissioner are these compromise proposals endorsed by at least some of the member states ?,NO
42364,will further consideration be given to them ?,NO
42365,what guarantees and timetables is the commission offering at the end of this difficult and belated debate ?,NO
42366,"mr president , thank you , commissioner , for tabling a proposal at last .",NO
42367,"however , I think that the list could be made longer .",NO
42368,i agree with my colleagues that we should adopt the 2005 approach to origin marking .,NO
42369,"in our view , that is the very minimum that should be ensured for the european consumers and citizens .",NO
42370,it could also favour the small and medium sized industries of europe .,NO
42371,we call on the commission and on the council to submit this quickly for consideration by the european parliament .,NO
42372,"moreover , I would like to support the commission's efforts to derive maximum benefit from such an agreement .",NO
42373,"at the same time , tens of thousands of jobs are disappearing .",NO
42374,"yes to respect for workersrights and for environmental rules , for our skills and for responsible management .",NO
42375,"and , finally and most importantly , yes to maintaining and defending industrial jobs in europe .",NO
42376,i would say that mandatory origin marking is a clear example of this .,NO
42377,"no , this is merely playing on people's prejudices , not protecting people .",NO
42378,the third myth is that the marking increases european competitiveness .,NO
42379,"however , new technical barriers to trade do not protect european industry .",NO
42380,could the commissioner perhaps address that point for me please ?,NO
42381,this is what we are here today to ask for this is what we are here to demand .,NO
42382,this is what we are asking for .,NO
42383,"but I do make my commitment to carry on with this , because there is a strength of feeling .",NO
42384,i will come on to what I think and why I think that is so important .,NO
42385,i think even adam smith was quoted in that .,NO
42386,"those concepts go hand in hand , and I would agree with that .",NO
42387,it is not about protectionism .,NO
42388,this happens all over the world .,NO
42389,"as a consumer myself , it matters to me to know where the product is made .",NO
42390,"specifically , mr schlyter asked me about the expanding of the list .",NO
42391,"well , it is subject to further discussion there is not a final list at all .",NO
42392,mr arif said that we should not water this down .,NO
42393,of course but I am not trying to water down I am trying to be realistic .,NO
42394,we are looking at the whole euromed issues as well .,NO
42395,"that is part of the discussion , as you know , that is currently going on .",NO
42396,i also take the point about what we are trying to do in terms of protection of jobs .,NO
42397,we have got to be clear that trade is not about ignoring all of those things .,NO
42398,they go hand in hand .,NO
42399,it is about the level playing field .,NO
42400,it is about clarity and transparency for consumers .,NO
42401,it is about saying that we need to move forward .,NO
42402,"very finally , I was asked specifically about the question ofmade in the european union.",NO
42403,we did consult industry and consumers on that .,NO
42404,it did not find favour .,NO
42405,there was a concern that that would be expensive .,NO
42406,it was not what was being looked for and so we have not pursued that .,NO
42407,"in the current climate of severe economic and social crisis , this situation requires a different approach .",NO
42408,adopting rules on designation of origin could help raise the profile of production in various member states .,NO
42409,"however , much more is required .",NO
42410,defending each country's right to sustainable production is a future requirement .,NO
42411,the european ombudsman's activities 2008 debate,NO
42412,an unprecedented number of inquiries was completed in 200most of these cases concerned the european commission and far fewer concerned the administration of the european parliament .,NO
42413,the most common type of maladministration was lack of transparency .,NO
42414,one third of cases were settled amicably to the satisfaction of the complainant .,NO
42415,there were fewer instances in which the ombudsman was forced to make critical remarks to the administrative institutions involved .,NO
42416,i enjoy an excellent working relationship with the committee .,NO
42417,we do so in different ways .,NO
42418,"unlawful behaviour , when it falls within my mandate , is always a form of maladministration .",NO
42419,"however , it is not enough for eu institutions and bodies merely to follow the law .",NO
42420,they must also act consistently and in good faith .,NO
42421,the ombudsman's privileged relationship with parliament is key to ensuring results for citizens .,NO
42422,"unlike court rulings , an ombudsman's decisions are not legally binding .",NO
42423,i can only use the power of persuasion to convince eu institutions and bodies to follow my recommendations .,NO
42424,one example from 2008 was the refusal of the commission to change its stance in an age discrimination case .,NO
42425,it has also now proven possible to publish the report much earlier in the year than before .,NO
42426,"in addition , a new six page overview has been produced .",NO
42427,the increased number of friendly solutions and settlement of cases is both positive and praiseworthy .,NO
42428,eight cases closed in 2008 exemplify best practice among the institutions and bodies in responding to issues I raised .,NO
42429,let me briefly mention just two of these cases .,NO
42430,the commission was constructive throughout the procedure concerning a payment dispute .,NO
42431,"as a result , the company concerned received more than eur 100 000 in outstanding payments .",NO
42432,"in 2008 , the ombudsman registered a total of 3 406 complaints .",NO
42433,"this represents a 6 % increase compared to 200often , such advice is to contact a member of the european network of ombudsmen .",NO
42434,this network now consists of roughly 95 offices in 32 countries and includes the committee on petitions .,NO
42435,one of its purposes is to facilitate the rapid transfer of complaints to the competent body .,NO
42436,a very important initiative in this area came to fruition earlier this year .,NO
42437,"so far this year , over 23 000 people have used the guide to obtain advice .",NO
42438,"in 2008 , by far the most common allegation I examined was lack of transparency in the eu administration .",NO
42439,this allegation arose in 36 % of all inquiries and included refusal of information or documents .,NO
42440,it is with a certain degree of concern that I have noted this high percentage .,NO
42441,"the commission has proposed changes to this regulation , some of which would be very beneficial .",NO
42442,the support of parliament was crucial in securing the revision of the ombudsman's statute in 200allow me to conclude by recalling that my task is to promote good administration in eu institutions and bodies .,NO
42443,it will come as no surprise that I totally agree with that .,NO
42444,"in 2008 , the commission contributed an opinion to the negotiations on the review of the ombudsman's statute .",NO
42445,we took an active part in the interinstitutional work to reach a satisfactory solution .,NO
42446,"we can all be proud of the result , which is the new statute .",NO
42447,i believe it is a result that citizens will benefit from .,NO
42448,"regarding complaints to the ombudsman , we saw a 6 % increase compared with 200as you know , 66 % of the enquiries focused on the commission .",NO
42449,i do not see this as particularly strange .,NO
42450,such figures need to be brought down by all institutions .,NO
42451,"recently , we have seen some difficulties in relation to competition files .",NO
42452,"another positive development is the increase in the number of friendly solutions , as we have already heard .",NO
42453,"for the commission , I am glad to say that the trend is definitely moving in the right direction .",NO
42454,my last point is about communication in practice .,NO
42455,here I want to commend the ombudsman on his new website .,NO
42456,"just like the annual report , it is thorough , complete and user friendly .",NO
42457,"the work should not be duplicated , but be given enhanced visibility .",NO
42458,it enhances visibility and citizens can easily find the ombudsman's guide in a couple of clicks .,NO
42459,"indeed , in this report we note the increasing number of complaints lodged with the ombudsman .",NO
42460,the fact remains that the commission is the guardian of the treaties .,NO
42461,"coming back to the report , the committee on petitions approved it by a large majority on 1 october .",NO
42462,our ombudsman has carried out his job of examining and processing the complaints in an active and balanced way .,NO
42463,"moreover , the ombudsman serves as a resource for the institutions .",NO
42464,this repeated call by our committee must not remain unanswered .,NO
42465,europeans deserve nothing less .,NO
42466,"first of all , I would like to congratulate our rapporteur , mrs paliadeli , for her excellent report .",NO
42467,it is our duty to restore european citizensconfidence in the european institutions .,NO
42468,i would also like to thank the rapporteur for her excellent work .,NO
42469,"the report is clear , concise and to the point .",NO
42470,that says a lot and the matter needs to be addressed .,NO
42471,that will depend on resources more than anything .,NO
42472,"mr president , my thanks to mrs paliadeli for a splendid report .",NO
42473,"there is not much time , so I will restrict myself to just three points .",NO
42474,this was an initiative that our group took in connection with parliament's resolution on the 2006 annual report .,NO
42475,this is something that we previously received parliament's support for in principle .,NO
42476,we might say that a number of politicians in our parliament could learn from you .,NO
42477,"i hope that your main success will not be the creation of a new , easy to access website .",NO
42478,it seems to me that our institutions need supervision .,NO
42479,"it is my conviction that this idea , although subversive , is what is needed here .",NO
42480,"recently , our citizens have been lacking in trust towards the eu , as mrs paliadeli can confirm .",NO
42481,"otherwise , the democratic deficit will , unfortunately , become wider .",NO
42482,"indeed , it is one of the indicators of the perception that our fellow citizens have of our institutions .",NO
42483,this is all the more true with regard to the follow up to the recommendations made in it .,NO
42484,355 complaints a 6 % increase on the previous year is very little .,NO
42485,it is very little in the context of the 500 million people living in europe .,NO
42486,one could be delighted with this and see it as a sign that our fellow citizens are satisfied .,NO
42487,we know that they are nothing of the sort .,NO
42488,"coming out of an election campaign , we know what this is all about .",NO
42489,our fellow citizens have a poor understanding of our institutions and do not know how they work .,NO
42490,"admittedly , we do have to improve communication , but I believe that too much communication kills information .",NO
42491,"this report is an indicator of the proper functioning of our institutions , of good administration .",NO
42492,that has already been said .,NO
42493,it is an indicator of our governance .,NO
42494,"many thanks , mr diamandouros , for your work with our fellow citizens .",NO
42495,many thanks to your team .,NO
42496,you can count on our support to promote and facilitate your work .,NO
42497,congratulations mr diamandouros .,NO
42498,"ombudsman , my apologies , as I am going to comply with that request at this point .",NO
42499,"thousands of students are demonstrating , they are taking to the streets and occupying lecture theatres .",NO
42500,one of their main points of criticism is the bologna process .,NO
42501,"scholasticism , however , is anything but a plannable process .",NO
42502,it is the way in which enlightened people communicate with one another and articulate themselves .,NO
42503,scholarly curiosity and scholarly creativity likewise cannot be planned this movement has proved that once again .,NO
42504,"for that reason , we should , in fact , support it it is democracy in action .",NO
42505,the president reminded the speaker of her speaking time,NO
42506,"in one respect , I give my full support to the acceptance of the european ombudsman's report .",NO
42507,what I consider extremely important is that he has attempted to reduce the time spent processing cases .,NO
42508,we are also aware that the majority of the complaints are ones which the ombudsman cannot deal with .,NO
42509,the service is improving year on year .,NO
42510,a job well done .,NO
42511,"as far as I am concerned , they are legitimate costs .",NO
42512,they are incurred in doing our job on behalf of citizens .,NO
42513,maybe it sounds like I am taking the high moral ground I am not .,NO
42514,the first problem is information .,NO
42515,the facts are relatively clear .,NO
42516,the situation is no different for other member states .,NO
42517,the european parliament is therefore proposing an extensive information campaign .,NO
42518,"i am not sure , however , whether we are trying to cure the right illness .",YES
42519,the second problem is costs .,NO
42520,every public institution comes at a price .,NO
42521,it is therefore necessary to consider whether the taxpayersmoney invested has brought the desired results .,NO
42522,"these problems were handled by 70 officials , costing the taxpayer eur 9 million .",NO
42523,each case taken on therefore cost more than eur 10 000 .,NO
42524,"in my opinion , that is excessive .",NO
42525,the third problem is subsidiarity .,NO
42526,"in this respect , I would like to wish the ombudsman much success .",NO
42527,"consequently , recourse to the european ombudsman gives european citizens the facility to enforce respect for their rights .",NO
42528,"ladies and gentlemen , I do not propose to drown you in numbers .",NO
42529,"mr president , I would like to begin by complimenting mrs paliadeli on her excellent report .",NO
42530,"hu I , too , would like to thank the european ombudsman for his work .",NO
42531,"we all want to make our work more transparent , which includes parliament's work as well .",NO
42532,the eib is the most important institution giving loans for investment in the eu and candidate countries .,NO
42533,"once again , I congratulate you on your report .",NO
42534,hu the european ombudsman has done an outstanding job .,NO
42535,"this sentiment has also been echoed by the committee on petitions , and I support his re election .",NO
42536,"in this respect , there are two different messages being given , making the european union two faced .",NO
42537,this is an extremely important and serious problem in europe .,NO
