id,text,gloss,health
40642,the main cause is alcohol .,DESC-MAIN CAUSE BE ALCOHOL .,NO
40708,i agree that sport and health go hand in hand .,X-I AGREE THAT SPORT AND HEALTH GO HAND IN HAND .,NO
40717,problem of limited access of developing countries to some vaccines debate,PROBLEM DESC-LIMITED ACCESS DEVELOP COUNTRY TO SOME VACCINE DEBATE,NO
40719,"in fact , the question comes up every year in connection with the flu season .","IN FACT , QUESTION COME DESC-UP EVERY YEAR IN CONNECTION WITH FLU SEASON .",NO
40720,"generally speaking , new seasonal flu viruses first appear in developing countries .","DESC-GENERALLY SPEAKING , DESC-NEW DESC-SEASONAL FLU VIRUS DESC-FIRST APPEAR IN DEVELOP COUNTRY .",NO
40721,"from then on , laboratories in the industrialised countries start producing a new vaccine .","FROM DESC-N ON , LABORATORY IN DESC-INDUSTRIALISED COUNTRY START PRODUCE DESC-NEW VACCINE .",NO
40722,"once developed , the vaccine is only just enough to protect the populations of the industrialised countries .","DESC-ONCE DEVELOP , VACCINE BE DESC-ONLY DESC-JUST DESC-ENOUGH TO PROTECT POPULATION DESC-INDUSTRIALISED COUNTRY .",NO
40723,the result is that the populations of the south are unprotected against pandemics .,RESULT BE THAT POPULATION DESC-SOUTH BE UNPROTECT AGAINST PANDEMIC .,NO
40726,the community has taken action against the influenza a h1n1 pandemic both internally and externally .,COMMUNITY HAVE TAKE ACTION AGAINST INFLUENZA H1N1 PANDEMIC BOTH DESC-INTERNALLY AND DESC-EXTERNALLY .,NO
40729,tuberculosis is a good example of the contrast between us and our neighbours in the developing world .,TUBERCULOSIS BE DESC-GOOD EXAMPLE CONTRAST BETWEEN X-WE AND X-WE NEIGHBOR IN DEVELOP WORLD .,NO
40730,"in europe , children are routinely given the bcg vaccination , which has greater than 80 % effectiveness .","IN EUROPE , CHILD BE DESC-ROUTINELY GIVE BCG VACCINATION , WHICH HAVE DESC-GREATER THAN 80 % EFFECTIVENESS .",NO
40731,this has led to a situation in europe where tb is not the persistent threat is once was .,THIS HAVE LEAD TO SITUATION IN EUROPE WHERE TB BE DESC-NOT DESC-PERSISTENT THREAT BE DESC-ONCE BE .,NO
40732,"contrast this with the developing world , where 26 % of avoidable deaths are caused by tuberculosis .","CONTRAST THIS WITH DEVELOP WORLD , WHERE 26 % DESC-AVOIDABLE DEATH BE CAUSE BY TUBERCULOSIS .",NO
40736,look at pneumococcal disease .,LOOK AT PNEUMOCOCCAL DISEASE .,NO
40737,"pneumococcal bacteria are the leading cause of pneumonia , which takes the lives of two million children every year .","PNEUMOCOCCAL BACTERIUM BE LEAD CAUSE PNEUMONIA , WHICH TAKE LIFE TWO MILLION CHILD EVERY YEAR .",NO
40738,this is a global health challenge with solutions .,THIS BE DESC-GLOBAL HEALTH CHALLENGE WITH SOLUTION .,NO
40739,the pneumococcal amc offers an unprecedented opportunity for countries to protect their children from this preventable killer .,PNEUMOCOCCAL AMC OFFER DESC-UNPRECEDENTED OPPORTUNITY FOR COUNTRY TO PROTECT X-Y CHILD FROM THIS DESC-PREVENTABLE KILLER .,NO
40740,we must make sure that we put these vaccines in the hands of countries that need them most .,X-WE MUST MAKE DESC-SURE THAT X-WE PUT SE VACCINE IN HAND COUNTRY THAT NEED X-Y MOST .,NO
40747,do we actually want to treat this problem as a public health problem or as a business ?,DO X-WE DESC-ACTUALLY WANT TO TREAT THIS PROBLEM AS PUBLIC HEALTH PROBLEM OR AS BUSINESS ?,NO
40998,"let us not forget that belated intervention is far less effective , and ends up costing more .","LET X-WE DESC-NOT FORGET THAT DESC-BELATED INTERVENTION BE DESC-FAR DESC-LESS DESC-EFFECTIVE , AND END DESC-UP COST MORE .",NO
41225,two hundred and fifty thousand people are being held in overcrowded camps with poor drinking water and medical supplies .,TWO HUNDRED AND FIFTY THOUSAND PEOPLE BE BE HOLD IN DESC-OVERCROWDED CAMP WITH DESC-POOR DRINKING WATER AND DESC-MEDICAL SUPPLIES .,NO
41245,"in some camps , more than 1 000 people are dying every week , mainly of dysentery .","IN SOME CAMP , MORE THAN 1 000 PEOPLE BE DIE EVERY WEEK , DESC-MAINLY DYSENTERY .",NO
42012,"joint programming of research to combat neurodegenerative diseases , in particular alzheimer's disease debate","DESC-JOINT PROGRAMMING RESEARCH TO COMBAT NEURODEGENERATIVE DISEASE , IN DESC-PARTICULAR ALZHEIMER X-POSS DISEASE DEBATE",NO
42014,"joint programming of research to combat neurodegenerative diseases , in particular alzheimer's disease b7 0218 / 2009","DESC-JOINT PROGRAMMING RESEARCH TO COMBAT NEURODEGENERATIVE DISEASE , IN DESC-PARTICULAR ALZHEIMER X-POSS DISEASE B7 0218 2009",NO
42018,"health research is even more fragmented at european level , and the number of public private partnerships must be increased .","HEALTH RESEARCH BE DESC-EVEN MORE DESC-FRAGMENTED AT EUROPEAN LEVEL , AND NUMBER PUBLIC DESC-PRIVATE PARTNERSHIP MUST BE INCREASE .",NO
42019,"the example of the innovative medicines initiative , launched in february 2008 , must not remain a one off experiment .","EXAMPLE DESC-INNOVATIVE MEDICINE INITIATIVE , LAUNCH IN FEBRUARY 2008 , MUST DESC-NOT REMAIN ONE OFF EXPERIMENT .",NO
42020,research today shows that there are already initiatives aimed at pre diagnosis .,RESEARCH TODAY SHOW THAT DESC-RE BE DESC-ALREADY INITIATIVE AIM AT PRE DIAGNOSIS .,NO
42023,i know that the european parliament gives high priority to the fight against alzheimer's disease .,X-I KNOW THAT EUROPEAN PARLIAMENT GIVE DESC-HIGH PRIORITY TO FIGHT AGAINST ALZHEIMER X-POSS DISEASE .,NO
42026,neurodegenerative diseases pose a major health problem in europe .,NEURODEGENERATIVE DISEASE POSE DESC-MAJOR HEALTH PROBLEM IN EUROPE .,NO
42042,"madam president , in my constituency of northern ireland , we currently have 16 000 people suffering from dementia .","MADAM PRESIDENT , IN X-MY CONSTITUENCY DESC-NORRN IRELAND , X-WE DESC-CURRENTLY HAVE 16 000 PEOPLE SUFFER FROM DEMENTIA .",NO
42044,"in the united kingdom , we currently have just over 400 000 people suffering from alzheimer's .","IN UNITE KINGDOM , X-WE DESC-CURRENTLY HAVE DESC-JUST OVER 400 000 PEOPLE SUFFER FROM ALZHEIMER X-POSS .",NO
42049,"as europe's population becomes older , the impact of alzheimer's will become deeper too .","AS EUROPE X-POSS POPULATION BECOME DESC-OLDER , IMPACT ALZHEIMER X-POSS WILL BECOME DESC-DEEPER DESC-TOO .",NO
42050,the further role of the european parliament in the fight against alzheimer's disease should not be discounted .,DESC-FURR ROLE EUROPEAN PARLIAMENT IN FIGHT AGAINST ALZHEIMER X-POSS DISEASE SHOULD DESC-NOT BE DISCOUNT .,NO
42059,joint efforts to combat diseases of this kind must be a priority for the eu institutions .,DESC-JOINT EFFORT TO COMBAT DISEASE THIS KIND MUST BE PRIORITY FOR EU INSTITUTION .,NO
42063,it is a disease that affects many people and that number is growing .,X-IT BE DISEASE THAT AFFECT DESC-MANY PEOPLE AND THAT NUMBER BE GROW .,NO
42068,"madam president , alzheimer's and other dementia related diseases are dreadful .","MADAM PRESIDENT , ALZHEIMER X-POSS AND DESC-OR DEMENTIA RELATE DISEASE BE DESC-DREADFUL .",NO
42069,the population's mental health is a vital issue for ensuring a decent quality of life .,POPULATION X-POSS DESC-MENTAL HEALTH BE DESC-VITAL ISSUE FOR ENSURE DESC-DECENT QUALITY LIFE .,NO
42070,diseases of this type are affecting an ever increasing number of people in the eu .,DISEASE THIS TYPE BE AFFECT DESC-EVER INCREASE NUMBER PEOPLE IN EU .,NO
42071,this is why efforts are required to combat the factors responsible for triggering these diseases .,THIS BE WHY EFFORT BE REQUIRE TO COMBAT FACTOR DESC-RESPONSIBLE FOR TRIGGER SE DISEASE .,NO
42077,the illness also involves the suffering of close relatives .,ILLNESS DESC-ALSO INVOLVE SUFFER DESC-CLOSE DESC-RELATIVE .,NO
42078,"it is sometimes called a family illness , with relatives often suffering from chronic stress .","X-IT BE DESC-SOMETIMES CALL FAMILY ILLNESS , WITH DESC-RELATIVE DESC-OFTEN SUFFER FROM CHRONIC STRESS .",NO
42080,"medical science , however , still does not even fully understand the causes of the disease .","DESC-MEDICAL SCIENCE , DESC-HOWEVER , DESC-STILL DO DESC-NOT DESC-EVEN DESC-FULLY UNDERSTAND CAUSE DISEASE .",NO
42083,"however , prevention is also important alongside providing the best possible care for those affected .","DESC-HOWEVER , PREVENTION BE DESC-ALSO DESC-IMPORTANT ALONGSIDE PROVIDE DESC-BEST DESC-POSSIBLE CARE FOR THOSE AFFECT .",NO
42084,the member states need to step up their information campaigns regarding an active lifestyle .,MEMBER STATE NEED TO STEP DESC-UP X-Y INFORMATION CAMPAIGN REGARD DESC-ACTIVE LIFESTYLE .,NO
42132,seventy five per cent of respondents claimed that the worsening of their health is attributable to the work they do .,SEVENTY FIVE PER CENT RESPONDENT CLAIM THAT WORSEN X-Y HEALTH BE DESC-ATTRIBUTABLE TO WORK X-Y DO .,YES
42141,"pl madam president , I would like to draw attention to the health situation in ukraine .","PL MADAM PRESIDENT , X-I WOULD LIKE TO DRAW ATTENTION TO HEALTH SITUATION IN UKRAINE .",NO
42185,we need to overcome the anxieties in our population .,X-WE NEED TO OVERCOME ANXIETY IN X-WE POPULATION .,NO
42518,"i am not sure , however , whether we are trying to cure the right illness .","X-I BE DESC-NOT DESC-SURE , DESC-HOWEVER , WHER X-WE BE TRY TO CURE DESC-RIGHT ILLNESS .",NO
42653,joint programming of research to combat neurodegenerative diseases vote,DESC-JOINT PROGRAMMING RESEARCH TO COMBAT NEURODEGENERATIVE DISEASE VOTE,NO
42725,in writing . alzheimer's disease and other neurodegenerative diseases affect an incredible number of european union citizens .,ALZHEIMER X-POSS DISEASE AND DESC-OR NEURODEGENERATIVE DISEASE AFFECT DESC-INCREDIBLE NUMBER EUROPEAN UNION CITIZEN .,NO
42726,"at present , there is little information on how these diseases may be prevented and treated .","AT DESC-PRESENT , DESC-RE BE DESC-LITTLE INFORMATION ON HOW SE DISEASE MAY BE PREVENT AND TREAT .",NO
42728,"as europe's population becomes older , alzheimer's disease is set to become more prevalent across the eu .","AS EUROPE X-POSS POPULATION BECOME DESC-OLDER , ALZHEIMER X-POSS DISEASE BE SET TO BECOME MORE DESC-PREVALENT ACROSS EU .",NO
42729,neurodegenerative diseases such as alzheimer's disease and parkinson's disease are a major factor in long term disability .,NEURODEGENERATIVE DISEASE DESC-SUCH AS ALZHEIMER X-POSS DISEASE AND PARKINSON X-POSS DISEASE BE DESC-MAJOR FACTOR IN DESC-LONG TERM DISABILITY .,NO
42730,dementia is a huge issue throughout europe affecting millions of individuals and families .,DEMENTIA BE DESC-HUGE ISSUE THROUGHOUT EUROPE AFFECT MILLION INDIVIDUAL AND FAMILY .,NO
42731,"unfortunately , no cure exists at the moment , and prevention and treatment related knowledge is limited .","DESC-UNFORTUNATELY , NO CURE EXIST AT MOMENT , AND PREVENTION AND TREATMENT RELATE KNOWLEDGE BE LIMIT .",NO
42733,around 7 million people in europe suffer from neurodegenerative diseases .,AROUND 7 MILLION PEOPLE IN EUROPE SUFFER FROM NEURODEGENERATIVE DISEASE .,NO
42761,"next week , on 1 december , it will be world aids day .","NEXT WEEK , ON 1 DECEMBER , X-IT WILL BE WORLD AID DAY .",NO
42845,the only effective method of combating the disease is to cut down or burn the trees .,DESC-ONLY DESC-EFFECTIVE METHOD COMBATE DISEASE BE TO CUT DESC-DOWN OR BURN TREE .,NO
43005,"prevention is vital , be it at local or cross border level .","PREVENTION BE DESC-VITAL , BE X-IT AT DESC-LOCAL OR CROSS BORDER LEVEL .",NO
43453,it has a crucial impact if we listen to the appeals and the warnings of the who .,X-IT HAVE DESC-CRUCIAL IMPACT IF X-WE LISTEN TO APPEAL AND WARN WHO .,NO
43465,maybe it is not just certain cows that have gone mad .,DESC-MAYBE X-IT BE DESC-NOT DESC-JUST DESC-CERTAIN COW THAT HAVE GO DESC-MAD .,NO
43700,it is beyond doubt that minimising risks to human health and environmental protection take priority .,X-IT BE BEYOND DOUBT THAT MINIMIZE RISK TO DESC-HUMAN HEALTH AND DESC-ENVIRONMENTAL PROTECTION TAKE PRIORITY .,NO
44384,what action will the commission take against pharmaceuticals companies that attempt to curtail parallel trading in the medicines sector ?,WHAT ACTION WILL COMMISSION TAKE AGAINST DESC-PHARMACEUTICAL COMPANY THAT ATTEMPT TO CURTAIL PARALLEL TRADING IN MEDICINE SECTOR ?,NO
44411,the commission therefore aims to establish lists of permitted health claims as well as to update permitted nutrition claims .,COMMISSION DESC-REFORE AIM TO ESTABLISH LIST PERMIT HEALTH CLAIM AS DESC-WELL AS TO UPDATE PERMIT NUTRITION CLAIM .,NO
44412,the regulation sets authorisation procedures to ensure that only scientifically substantiated health claims are made .,REGULATION SET AUTHORISATION PROCEDURE TO ENSURE THAT DESC-ONLY DESC-SCIENTIFICALLY SUBSTANTIATE HEALTH CLAIM BE MAKE .,NO
44413,the commission has so far adopted four regulations authorising or rejecting health claims .,COMMISSION HAVE DESC-SO DESC-FAR ADOPT FOUR REGULATION AUTHORISE OR REJECT HEALTH CLAIM .,NO
44422,we are talking now about health claims .,X-WE BE TALK DESC-NOW ABOUT HEALTH CLAIM .,NO
44793,the law actually bans those exchanges in hospitals where the hungarian language is under represented .,LAW DESC-ACTUALLY BAN THOSE EXCHANGE IN HOSPITAL WHERE DESC-HUNGARIAN LANGUAGE BE UNDER REPRESENT .,NO
45048,"so , this system has already saved many lives in europe and elsewhere .","DESC-SO , THIS SYSTEM HAVE DESC-ALREADY SAVE DESC-MANY LIFE IN EUROPE AND DESC-ELSEWHERE .",NO
45864,this is a public health problem .,THIS BE PUBLIC HEALTH PROBLEM .,NO
45927,psychologists say that aggression is much more prevalent during the crisis than at other times .,PSYCHOLOGIST SAY THAT AGGRESSION BE DESC-MUCH MORE DESC-PREVALENT DURING CRISIS THAN AT DESC-OR TIME .,NO
45945,more women die from the aggression directed against them than die from cancer .,MORE WOMAN DIE FROM AGGRESSION DESC-DIRECT AGAINST X-Y THAN DIE FROM CANCER .,NO
46105,smoke free environments debate,SMOKE DESC-FREE ENVIRONMENT DEBATE,NO
46109,"passive smoke contains more than 4 000 gaseous compounds and particles , including 69 known carcinogens and many toxins .","PASSIVE SMOKE CONTAIN MORE THAN 4 000 DESC-GASEOUS COMPOUND AND PARTICLE , INCLUDE 69 KNOW CARCINOGEN AND DESC-MANY TOXIN .",NO
46110,there is no safe level of exposure to passive tobacco smoke .,DESC-RE BE NO DESC-SAFE LEVEL EXPOSURE TO PASSIVE TOBACCO SMOKE .,NO
46111,considerable progress has been made in recent years in establishing smoke free environments in several member states .,DESC-CONSIDERABLE PROGRESS HAVE BE MAKE IN DESC-RECENT YEAR IN ESTABLISH SMOKE DESC-FREE ENVIRONMENT IN DESC-SEVERAL MEMBER STATE .,NO
46112,article 8 concerns protection against exposure to tobacco smoke .,ARTICLE 8 CONCERN PROTECTION AGAINST EXPOSURE TO TOBACCO SMOKE .,NO
46117,"in the resolution , parliament called on the member states to introduce legislation on smoke free environments within two years .","IN RESOLUTION , PARLIAMENT CALL ON MEMBER STATE TO INTRODUCE LEGISLATION ON SMOKE DESC-FREE ENVIRONMENT WITHIN TWO YEAR .",NO
46119,parliament also considered that the smoke free policy should be complemented by other supporting measures .,PARLIAMENT DESC-ALSO CONSIDER THAT SMOKE DESC-FREE POLICY SHOULD BE COMPLEMENT BY DESC-OR SUPPORT MEASURE .,NO
46123,we cannot ignore the fact that smoking currently remains one of the biggest causes of illness and death .,X-WE CAN DESC-NOT IGNORE FACT THAT SMOKING DESC-CURRENTLY REMAIN ONE DESC-BIGGEST CAUSE ILLNESS AND DEATH .,NO
46124,"in fact , this effect was noticed almost immediately after the smoking ban was introduced .","IN FACT , THIS EFFECT BE NOTICE DESC-ALMOST DESC-IMMEDIATELY AFTER SMOKING BAN BE INTRODUCE .",NO
46126,this reality should guide us when drafting and supporting anti smoking legislation .,THIS REALITY SHOULD GUIDE X-WE WHEN DRAFT AND SUPPORT ANTI SMOKING LEGISLATION .,NO
46133,"it is not about freedom of choice , because those who become sick have not chosen it at all .","X-IT BE DESC-NOT ABOUT FREEDOM CHOICE , BECAUSE THOSE WHO BECOME DESC-SICK HAVE DESC-NOT CHOOSE X-IT AT ALL .",NO
46136,"studies have shown that standardised packaging would greatly reduce consumption and demand , especially among young people .","STUDY HAVE SHOW THAT STANDARDISE PACKAGING WOULD DESC-GREATLY REDUCE CONSUMPTION AND DEMAND , DESC-ESPECIALLY AMONG DESC-YOUNG PEOPLE .",NO
46137,"passive smoking is a huge problem , particularly for children .","PASSIVE SMOKING BE DESC-HUGE PROBLEM , DESC-PARTICULARLY FOR CHILD .",NO
46139,i think that the legal and practical situation in germany is shameful from a health policy perspective .,X-I THINK THAT DESC-LEGAL AND DESC-PRACTICAL SITUATION IN GERMANY BE DESC-SHAMEFUL FROM HEALTH POLICY PERSPECTIVE .,NO
46147,"the committee on the environment , public health and food safety has always called for them to be abolished .","COMMITTEE ON ENVIRONMENT , PUBLIC HEALTH AND FOOD SAFETY HAVE DESC-ALWAYS CALL FOR X-Y TO BE ABOLISH .",NO
46155,but let us not demonise smokers .,BUT LET X-WE DESC-NOT DEMONISE SMOKER .,NO
46156,remember that tobacco is a terrible addiction and smokers need all our help and support to kick the habit .,REMEMBER THAT TOBACCO BE DESC-TERRIBLE ADDICTION AND SMOKER NEED ALL X-WE HELP AND SUPPORT TO KICK HABIT .,NO
46158,there could be some discussion about whether this might discriminate against smokers .,DESC-RE COULD BE SOME DISCUSSION ABOUT WHER THIS MIGHT DESC-DISCRIMINATE AGAINST SMOKER .,NO
46160,"i believe that we are all interested in having a clean and healthy environment , especially for our children .","X-I BELIEVE THAT X-WE BE ALL DESC-INTERESTED IN HAVE DESC-CLEAN AND DESC-HEALTHY ENVIRONMENT , DESC-ESPECIALLY FOR X-WE CHILD .",NO
46168,passive smoking has basically been eliminated in ireland and adults have also cut back on smoking .,PASSIVE SMOKING HAVE DESC-BASICALLY BE ELIMINATE IN IRELAND AND ADULT HAVE DESC-ALSO CUT DESC-BACK ON SMOKING .,NO
46183,it is extremely positive that we are all so committed to succeeding in achieving smoke free environments .,X-IT BE DESC-EXTREMELY DESC-POSITIVE THAT X-WE BE ALL DESC-SO DESC-COMMITTED TO SUCCEED IN ACHIEVE SMOKE DESC-FREE ENVIRONMENT .,NO
46186,the issue of tobacco control will have a prominent place on the agenda over the next year as well .,ISSUE TOBACCO CONTROL WILL HAVE DESC-PROMINENT PLACE ON AGENDA OVER NEXT YEAR AS DESC-WELL .,NO
46189,no one here would question the fact that non smokers need comprehensive protection .,NO ONE DESC-HERE WOULD QUESTION FACT THAT NON SMOKER NEED DESC-COMPREHENSIVE PROTECTION .,NO
46193,i am fully aware of the damage to health caused by using tobacco and by passive smoking .,X-I BE DESC-FULLY DESC-AWARE DAMAGE TO HEALTH CAUSE BY USE TOBACCO AND BY PASSIVE SMOKING .,NO
46196,a total smoking ban in 2012 would make these expensive investments obsolete at a stroke .,TOTAL SMOKING BAN IN 2012 WOULD MAKE SE DESC-EXPENSIVE INVESTMENT DESC-OBSOLETE AT STROKE .,NO
46197,the draft council recommendation on smoke free environments is not a sensible measure .,DRAFT COUNCIL RECOMMENDATION ON SMOKE DESC-FREE ENVIRONMENT BE DESC-NOT SENSIBLE MEASURE .,NO
46198,the member states in particular have some catching up to do when it comes to the protection of non smokers .,MEMBER STATE IN DESC-PARTICULAR HAVE SOME CATCH DESC-UP TO DO WHEN X-IT COME TO PROTECTION NON SMOKER .,NO
46199,our central concern must be to protect vulnerable groups such as children and pregnant women .,X-WE DESC-CENTRAL CONCERN MUST BE TO PROTECT DESC-VULNERABLE GROUP DESC-SUCH AS CHILD AND DESC-PREGNANT WOMAN .,NO
46284,it is not because there are technical problems that children are dying .,X-IT BE DESC-NOT BECAUSE DESC-RE BE DESC-TECHNICAL PROBLEM THAT CHILD BE DIE .,NO
46331,experts estimate that it would cost usd 44 billion to overcome the scourge of chronic malnutrition .,EXPERT ESTIMATE THAT X-IT WOULD COST USD 44 BILLION TO OVERCOME SCOURGE CHRONIC MALNUTRITION .,NO
46422,let us not forget that foot and mouth disease is still a serious problem in brazil .,LET X-WE DESC-NOT FORGET THAT FOOT AND MOUTH DISEASE BE DESC-STILL DESC-SERIOUS PROBLEM IN BRAZIL .,NO
46424,we support you in what you are saying about the import controls and about fmd .,X-WE SUPPORT X-YOU IN WHAT X-YOU BE SAY ABOUT IMPORT CONTROL AND ABOUT FMD .,NO
46436,"the meat brings with it the risk of contamination such as foot and mouth disease , as we have heard tonight .","MEAT BRING WITH X-IT RISK CONTAMINATION DESC-SUCH AS FOOT AND MOUTH DISEASE , AS X-WE HAVE HEAR DESC-TONIGHT .",NO
46493,yet we wish to guarantee consumption conditions and the health of our consumers .,DESC-YET X-WE WISH TO GUARANTEE CONSUMPTION CONDITION AND HEALTH X-WE CONSUMER .,NO
46495,that applies to the identification and registration of cattle and to animal disease prevention measures in brazil .,THAT APPLY TO IDENTIFICATION AND REGISTRATION CATTLE AND TO ANIMAL DISEASE PREVENTION MEASURE IN BRAZIL .,NO
46498,"for example , vaccination has been given greater prominence in the combating of the disease .","FOR EXAMPLE , VACCINATION HAVE BE GIVE DESC-GREATER PROMINENCE IN COMBATE DISEASE .",NO
46510,"this concerns not only animal health and food safety , but also environmental standards , production and animal welfare .","THIS CONCERN DESC-NOT DESC-ONLY ANIMAL HEALTH AND FOOD SAFETY , BUT DESC-ALSO DESC-ENVIRONMENTAL STANDARD , PRODUCTION AND ANIMAL WELFARE .",NO
46516,our market access conditions are important conditions because they affect food and they affect the health of our residents .,X-WE MARKET ACCESS CONDITION BE DESC-IMPORTANT CONDITION BECAUSE X-Y AFFECT FOOD AND X-Y AFFECT HEALTH X-WE RESIDENT .,NO
46663,could information on the effectiveness of policy be included in future ?,COULD INFORMATION ON EFFECTIVENESS POLICY BE INCLUDE IN FUTURE ?,NO
46974,men and women should have the same chance of physical integrity .,MAN AND WOMAN SHOULD HAVE DESC-SAME CHANCE DESC-PHYSICAL INTEGRITY .,NO
46983,this is in accordance with international obligations arising from the who framework convention on tobacco control .,THIS BE IN ACCORDANCE WITH DESC-INTERNATIONAL OBLIGATION ARISE FROM WHO FRAMEWORK CONVENTION ON TOBACCO CONTROL .,NO
46985,smoking continues to be the most frequent cause of diseases which lead to premature deaths .,SMOKING CONTINUE TO BE MOST DESC-FREQUENT CAUSE DISEASE WHICH LEAD TO DESC-PREMATURE DEATH .,NO
46989,"if we want to combat smoking , then we should not subsidise tobacco cultivation .","IF X-WE WANT TO COMBAT SMOKING , DESC-N X-WE SHOULD DESC-NOT SUBSIDISE TOBACCO CULTIVATION .",NO
46992,we are only responsible for health and safety at work .,X-WE BE DESC-ONLY DESC-RESPONSIBLE FOR HEALTH AND SAFETY AT WORK .,NO
46995,"mr president , I come from a country which has introduced a ban on smoking in the workplace .","MR PRESIDENT , X-I COME FROM COUNTRY WHICH HAVE INTRODUCE BAN ON SMOKING IN WORKPLACE .",NO
47005,fighting the tobacco producers is not the way to reduce smoking .,FIGHT TOBACCO PRODUCER BE DESC-NOT WAY TO REDUCE SMOKING .,NO
47087,i welcome this resolution enabling parliament to support the commission's highly voluntary anti smoking policy .,X-I DESC-WELCOME THIS RESOLUTION ENABLE PARLIAMENT TO SUPPORT COMMISSION X-POSS DESC-HIGHLY DESC-VOLUNTARY ANTI SMOKING POLICY .,NO
47093,tobacco is a drug .,TOBACCO BE DRUG .,NO
47106,i abstained in the vote on the resolution on smoking .,X-I ABSTAIN IN VOTE ON RESOLUTION ON SMOKING .,NO
47114,smoking is the greatest single cause of premature deaths in europe .,SMOKING BE DESC-GREATEST DESC-SINGLE CAUSE DESC-PREMATURE DEATH IN EUROPE .,NO
47115,tobacco smoke is an environmental pollutant that contains over a hundred compounds that do harm to the health .,TOBACCO SMOKE BE DESC-ENVIRONMENTAL POLLUTANT THAT CONTAIN OVER HUNDRED COMPOUND THAT DO HARM TO HEALTH .,NO
47116,"passive smoking is a moral problem , because those who suffer have no choice .","PASSIVE SMOKING BE DESC-MORAL PROBLEM , BECAUSE THOSE WHO SUFFER HAVE NO CHOICE .",NO
47118,"every year , smoking leads to the premature death of almost 100 000 europeans .","EVERY YEAR , SMOKING LEAD TO DESC-PREMATURE DEATH DESC-ALMOST 100 000 EUROPEAN .",NO
47120,when finland finally also banned smoking in restaurants and bars there was an outcry .,WHEN FINLAND DESC-FINALLY DESC-ALSO BAN SMOKING IN RESTAURANT AND BAR DESC-RE BE OUTCRY .,NO
47124,it is high time we brought the gradual phasing out of subsidies for tobacco farming to a complete end .,X-IT BE DESC-HIGH TIME X-WE BRING DESC-GRADUAL PHASE OUT SUBSIDY FOR TOBACCO FARMING TO DESC-COMPLETE END .,NO
47126,"fellow members , I can understand the arguments of those who are campaigning against smoking .","FELLOW MEMBER , X-I CAN UNDERSTAND ARGUMENT THOSE WHO BE CAMPAIGN AGAINST SMOKING .",NO
47184,she is diabetic and in a poor state of health .,X-SHE BE DIABETIC AND IN DESC-POOR STATE HEALTH .,YES
47248,the estimated number of unreported cases is much higher .,ESTIMATE NUMBER DESC-UNREPORTED CASE BE DESC-MUCH DESC-HIGHER .,NO
47897,"these relate directly to the health of our children , who play with the toys that we buy them .","SE RELATE DESC-DIRECTLY TO HEALTH X-WE CHILD , WHO PLAY WITH TOY THAT X-WE BUY X-Y .",NO
47903,malignant tumours are the second most common cause of death in children .,DESC-MALIGNANT TUMOR BE DESC-SECOND MOST DESC-COMMON CAUSE DEATH IN CHILD .,NO
47916,we have a huge responsibility to ensure that our children are not made unwell or put at risk .,X-WE HAVE DESC-HUGE RESPONSIBILITY TO ENSURE THAT X-WE CHILD BE DESC-NOT MAKE DESC-UNWELL OR PUT AT RISK .,NO
47949,i do not need the help of the federal institute for risk assessment to find that out .,X-I DO DESC-NOT NEED HELP DESC-FEDERAL INSTITUTE FOR RISK ASSESSMENT TO FIND THAT OUT .,NO
48458,the interest countries pay for debt is money they cannot put into their hospitals or schools for the future .,INTEREST COUNTRY PAY FOR DEBT BE MONEY X-Y CAN DESC-NOT PUT INTO X-Y HOSPITAL OR SCHOOL FOR FUTURE .,NO
48719,i described 1 200 classrooms that were needed and I described our work in health .,X-I DESCRIBE 1 200 CLASSROOM THAT BE NEED AND X-I DESCRIBE X-WE WORK IN HEALTH .,NO
48736,the list also has far reaching side effects .,LIST DESC-ALSO HAVE DESC-FAR REACH SIDE EFFECT .,NO
49007,"the next time , mr rapist is given our special pillmistralto increase his male capacities .","NEXT TIME , MR RAPIST BE GIVE X-WE DESC-SPECIAL PILLMISTRALTO INCREASE X-HE MALE CAPACITY .",YES
49124,the number of suicides is rising .,NUMBER SUICIDE BE RISE .,NO
49125,the european union's neoliberal social security policy must be changed .,EUROPEAN UNION X-POSS DESC-NEOLIBERAL DESC-SOCIAL SECURITY POLICY MUST BE CHANGE .,NO
49188,"hu mr president , influenza strikes down those who have a weak constitution .","HU MR PRESIDENT , INFLUENZA STRIKE DESC-DOWN THOSE WHO HAVE DESC-WEAK CONSTITUTION .",NO
49235,experience gained in applying the food hygiene regulations of the european parliament and of the council debate,EXPERIENCE GAIN IN APPLY FOOD HYGIENE REGULATION EUROPEAN PARLIAMENT AND COUNCIL DEBATE,NO
49237,it is important for us to be aware that the hygiene regulations have undergone a paradigm shift .,X-IT BE DESC-IMPORTANT FOR X-WE TO BE DESC-AWARE THAT HYGIENE REGULATION HAVE UNDERGO PARADIGM SHIFT .,NO
49251,the food hygiene regulation specifies the hygiene rules for meat production .,FOOD HYGIENE REGULATION SPECIFY HYGIENE RULE FOR MEAT PRODUCTION .,NO
49711,"on the minus side , I would mention the failure to implement patient mobility .","ON MINUS SIDE , X-I WOULD MENTION FAILURE TO IMPLEMENT PATIENT MOBILITY .",NO
